Localidade;Ano;Densidade Demográfica
Abadia de Goiás;2000;33,94
Abadia de Goiás;2001;35,71
Abadia de Goiás;2002;36,97
Abadia de Goiás;2003;38,38
Abadia de Goiás;2004;41,34
Abadia de Goiás;2005;42,97
Abadia de Goiás;2006;44,59
Abadia de Goiás;2007;40,07
Abadia de Goiás;2008;42,21
Abadia de Goiás;2009;43,02
Abadia de Goiás;2010;46,85
Abadia de Goiás;2011;47,84
Abadia de Goiás;2012;48,81
Abadia de Goiás;2013;51,55
Abadia de Goiás;2014;52,69
Abadia de Goiás;2015;53,79
Abadia de Goiás;2016;54,87
Abadia de Goiás;2017;55,55
Abadiânia;1991;9
Abadiânia;1996;9,71
Abadiânia;2000;10,97
Abadiânia;2001;11,17
Abadiânia;2002;11,38
Abadiânia;2003;11,57
Abadiânia;2004;11,98
Abadiânia;2005;12,2
Abadiânia;2006;12,42
Abadiânia;2007;12,11
Abadiânia;2008;12,65
Abadiânia;2009;12,81
Abadiânia;2010;15,08
Abadiânia;2011;15,39
Abadiânia;2012;15,7
Abadiânia;2013;16,58
Abadiânia;2014;16,94
Abadiânia;2015;17,29
Abadiânia;2016;17,63
Abadiânia;2017;17,96
Acreúna;1991;8,98
Acreúna;1996;9,79
Acreúna;2000;11,69
Acreúna;2001;12
Acreúna;2002;12,26
Acreúna;2003;12,52
Acreúna;2004;13,08
Acreúna;2005;13,38
Acreúna;2006;13,69
Acreúna;2007;11,85
Acreúna;2008;12,24
Acreúna;2009;12,29
Acreúna;2010;12,95
Acreúna;2011;13,05
Acreúna;2012;13,14
Acreúna;2013;13,64
Acreúna;2014;13,76
Acreúna;2015;13,88
Acreúna;2016;13,99
Acreúna;2017;14,1
Adelândia;1991;20,28
Adelândia;1996;22,92
Adelândia;2000;21,33
Adelândia;2001;21,68
Adelândia;2002;21,54
Adelândia;2003;21,65
Adelândia;2004;21,86
Adelândia;2005;21,98
Adelândia;2006;22,1
Adelândia;2007;21,76
Adelândia;2008;22,5
Adelândia;2009;22,61
Adelândia;2010;21,47
Adelândia;2011;21,48
Adelândia;2012;21,5
Adelândia;2013;22,11
Adelândia;2014;22,14
Adelândia;2015;22,17
Adelândia;2016;22,2
Adelândia;2017;22,23
Água Fria de Goiás;1991;1,96
Água Fria de Goiás;1996;1,86
