Localidade;Ano;Total;Federal;Estadual;Municipal;Particular
Abadia de Goiás;2000;63;;;;
Abadia de Goiás;2001;66;;;;
Abadia de Goiás;2002;63;;29;34;
Abadia de Goiás;2003;80;;32;48;
Abadia de Goiás;2004;84;;26;51;7
Abadia de Goiás;2005;84;;30;47;7
Abadia de Goiás;2006;83;;27;56;
Abadia de Goiás;2007;65;;24;48;
Abadia de Goiás;2008;69;;24;51;
Abadia de Goiás;2009;75;;24;54;5
Abadia de Goiás;2010;82;;25;59;4
Abadia de Goiás;2011;83;;23;62;5
Abadia de Goiás;2012;77;;19;59;5
Abadia de Goiás;2013;81;;19;64;4
Abadia de Goiás;2014;87;;17;69;5
Abadia de Goiás;2015;88;;18;70;6
Abadia de Goiás;2016;97;;25;71;5
Abadia de Goiás;2017;96;;20;74;4
Abadia de Goiás;2018;117;16;28;85;5
Abadiânia;2000;131;;;;
Abadiânia;2001;159;;;;
Abadiânia;2002;143;;62;44;37
Abadiânia;2003;141;;59;50;32
Abadiânia;2004;147;;56;57;34
Abadiânia;2005;133;;51;57;25
Abadiânia;2006;131;;52;57;22
Abadiânia;2007;124;;51;53;25
Abadiânia;2008;140;;51;58;39
Abadiânia;2009;144;;55;57;39
Abadiânia;2010;144;;58;60;34
Abadiânia;2011;144;;57;58;36
Abadiânia;2012;148;;52;64;38
Abadiânia;2013;140;;53;53;45
Abadiânia;2014;144;;54;52;44
Abadiânia;2015;150;;56;53;50
Abadiânia;2016;149;;55;52;52
Abadiânia;2017;145;;54;51;47
Abadiânia;2018;158;36;60;48;53
Acreúna;2000;200;;;;
Acreúna;2001;200;;;;
Acreúna;2002;221;;91;71;59
Acreúna;2003;220;;94;79;47
Acreúna;2004;237;;88;87;62
Acreúna;2005;246;;85;95;66
Acreúna;2006;242;;84;96;62
Acreúna;2007;189;;80;84;56
Acreúna;2008;183;;76;86;47
Acreúna;2009;193;;75;95;52
Acreúna;2010;194;;72;105;52
Acreúna;2011;166;;69;94;43
Acreúna;2012;199;;61;116;62
Acreúna;2013;190;;61;113;54
Acreúna;2014;174;;59;98;46
Acreúna;2015;172;;63;93;44
Acreúna;2016;176;;63;89;47
Acreúna;2017;190;;65;91;55
Acreúna;2018;193;0;68;95;49
Adelândia;2000;32;;;;
Adelândia;2001;34;;;;
Adelândia;2002;31;;21;10;
Adelândia;2003;33;;23;10;
Adelândia;2004;35;;23;12;
Adelândia;2005;35;;21;14;
Adelândia;2006;33;;18;15;
Adelândia;2007;25;;17;8;
Adelândia;2008;29;;18;11;
Adelândia;2009;28;;20;10;
Adelândia;2010;36;;22;14;
Adelândia;2011;29;;17;12;
Adelândia;2012;23;;16;7;
Adelândia;2013;23;;15;8;
Adelândia;2014;27;;15;12;
Adelândia;2015;25;;14;11;
Adelândia;2016;27;;12;15;
Adelândia;2017;24;;11;14;
Adelândia;2018;27;0;13;14;0
Água Fria de Goiás;2000;55;;;;
Água Fria de Goiás;2001;58;;;;
Água Fria de Goiás;2002;59;;34;25;
Água Fria de Goiás;2003;65;;40;25;
Água Fria de Goiás;2004;64;;39;25;
Água Fria de Goiás;2005;64;;33;31;
Água Fria de Goiás;2006;70;;32;38;
Água Fria de Goiás;2007;59;;31;30;
Água Fria de Goiás;2008;57;;28;29;
Água Fria de Goiás;2009;68;;32;37;
Água Fria de Goiás;2010;66;;31;36;
Água Fria de Goiás;2011;65;;30;37;
Água Fria de Goiás;2012;67;;32;36;
Água Fria de Goiás;2013;61;;33;32;
Água Fria de Goiás;2014;61;;31;33;
Água Fria de Goiás;2015;55;;25;33;
Água Fria de Goiás;2016;54;;23;32;
Água Fria de Goiás;2017;58;;26;35;
Água Fria de Goiás;2018;60;24;29;34;0
Água Limpa;2000;32;;;;
Água Limpa;2001;35;;;;
Água Limpa;2002;32;;19;13;
Água Limpa;2003;24;;14;10;
Água Limpa;2004;30;;18;12;
Água Limpa;2005;28;;17;11;
Água Limpa;2006;30;;18;12;
Água Limpa;2007;24;;15;10;
Água Limpa;2008;24;;14;11;
Água Limpa;2009;25;;14;11;
Água Limpa;2010;22;;13;9;
Água Limpa;2011;24;;13;11;
Água Limpa;2012;26;;13;13;
Água Limpa;2013;24;;12;13;
Água Limpa;2014;28;;11;18;
Água Limpa;2015;27;;11;18;
Água Limpa;2016;29;;11;18;
Água Limpa;2017;33;;13;21;
Água Limpa;2018;31;0;11;20;0
Águas Lindas de Goiás;2000;525;;;;
Águas Lindas de Goiás;2001;714;;;;
Águas Lindas de Goiás;2002;720;;373;246;101
Águas Lindas de Goiás;2003;916;;396;362;158
Águas Lindas de Goiás;2004;940;;413;393;134
Águas Lindas de Goiás;2005;893;;407;408;78
Águas Lindas de Goiás;2006;1030;;448;409;173
Águas Lindas de Goiás;2007;875;;343;499;55
Águas Lindas de Goiás;2008;1074;;415;569;122
Águas Lindas de Goiás;2009;1064;;396;587;107
Águas Lindas de Goiás;2010;1170;;420;590;211
Águas Lindas de Goiás;2011;1304;;404;659;292
