Localidade;Ano;Total;Indústria de Transformação;Indústria de Extração de Minerais;Serviços Industriais de Utilidade Pública;Construção Civil;Comércio;Serviços;Administração Pública Direta e Indireta;Agricultura, Silvicultura, Criação de Animais, Extração Vegetal e Pesca;Atividade não especificada ou classificada
Abadia de Goiás;1999;8;3;;;2;2;;;1;
Abadia de Goiás;2000;37;1;;;;12;;;24;
Abadia de Goiás;2001;107;24;;;44;17;19;;3;
Abadia de Goiás;2002;261;23;;;181;25;26;;6;
Abadia de Goiás;2003;90;14;;;5;26;35;;10;
Abadia de Goiás;2004;137;6;;;9;22;85;;15;
Abadia de Goiás;2005;194;34;;;30;44;53;;33;
Abadia de Goiás;2006;81;32;;;4;8;20;;17;
Abadia de Goiás;2007;198;46;;;20;26;18;;88;
Abadia de Goiás;2008;182;72;;;17;24;29;;40;
Abadia de Goiás;2009;209;78;;;10;59;29;;33;
Abadia de Goiás;2010;341;95;;;96;81;28;;41;
Abadia de Goiás;2011;373;64;;;99;90;48;;72;
Abadia de Goiás;2012;474;121;;;115;90;116;;32;
Abadia de Goiás;2013;900;220;;;224;256;142;;58;
Abadia de Goiás;2014;943;240;;;272;222;131;;78;
Abadia de Goiás;2015;715;173;1;;121;262;77;;81;
Abadia de Goiás;2016;638;265;;;119;136;35;;83;
Abadia de Goiás;2017;858;223;;;284;210;53;;88;
Abadia de Goiás;2018;762;316;0;1;118;193;100;0;34;762
Abadiânia;1999;243;37;;2;22;41;133;;3;5
Abadiânia;2000;597;59;;2;6;78;354;2;64;32
Abadiânia;2001;470;62;;;8;32;293;;74;1
Abadiânia;2002;272;55;;;3;67;81;;66;
Abadiânia;2003;424;51;4;;;22;262;;85;
Abadiânia;2004;251;18;4;1;1;42;86;;99;
Abadiânia;2005;343;43;13;1;13;73;98;;102;
Abadiânia;2006;338;58;16;;;56;147;;61;
Abadiânia;2007;649;299;18;;;82;126;;124;
Abadiânia;2008;495;104;13;;;76;115;;187;
Abadiânia;2009;498;82;13;;;94;146;;163;
Abadiânia;2010;576;135;13;;;93;198;;137;
Abadiânia;2011;333;33;33;;22;42;79;;124;
Abadiânia;2012;698;124;22;;6;179;238;;129;
Abadiânia;2013;703;113;24;;3;153;260;;150;
Abadiânia;2014;828;82;14;;;143;460;;129;
Abadiânia;2015;846;90;24;1;1;212;393;;125;
Abadiânia;2016;772;91;11;;2;212;319;;137;
Abadiânia;2017;853;109;18;19;31;204;370;;102;
Abadiânia;2018;782;88;10;0;39;195;334;0;116;782
Acreúna;1999;1231;449;;;117;110;289;;254;12
Acreúna;2000;1336;177;;;5;137;97;;919;1
Acreúna;2001;1400;89;;;28;121;159;;1003;
Acreúna;2002;1495;173;;;3;131;98;;1090;
Acreúna;2003;1720;282;;;;122;227;;1089;
Acreúna;2004;1690;297;;1;6;170;252;;964;
Acreúna;2005;1967;879;;;34;209;204;;641;
Acreúna;2006;1685;375;;;55;212;753;;290;
Acreúna;2007;1711;324;;;2;212;186;;987;
Acreúna;2008;2077;680;;;71;358;183;;785;
Acreúna;2009;1561;532;;;62;267;188;;512;
Acreúna;2010;1675;481;;1;167;248;228;;550;
Acreúna;2011;1677;263;;;164;358;300;;592;
Acreúna;2012;1605;249;;;107;324;320;;605;
Acreúna;2013;1672;201;;;276;383;261;;551;
Acreúna;2014;1648;166;1;;26;420;296;;739;
Acreúna;2015;1393;112;;;56;313;374;;538;
Acreúna;2016;1210;101;;;92;299;252;;466;
Acreúna;2017;1320;132;;;23;296;277;;592;
Acreúna;2018;1808;172;0;0;4;364;294;1;973;1808
Adelândia;1999;6;2;;;1;;2;;1;
Adelândia;2000;3;;;;;;2;;1;
Adelândia;2001;2;;;;;1;1;;;
Adelândia;2002;14;12;;;;1;;;1;
Adelândia;2003;19;16;;;;2;;;1;
Adelândia;2004;10;;;;6;2;2;;;
Adelândia;2005;39;33;;;;3;1;;2;
Adelândia;2006;18;8;;;;3;1;;6;
Adelândia;2007;10;3;;;;;2;;5;
Adelândia;2008;35;30;;;;4;;;1;
Adelândia;2009;58;45;;;;8;2;;3;
Adelândia;2010;56;36;;;;11;3;;6;
Adelândia;2011;47;34;;;;6;1;;6;
Adelândia;2012;115;99;;;;7;2;;7;
Adelândia;2013;112;92;;;;9;1;;10;
Adelândia;2014;110;63;;;;9;28;;10;
Adelândia;2015;97;66;;;;5;21;;5;
Adelândia;2016;153;38;;;;7;62;;46;
Adelândia;2017;188;32;;;;9;13;;134;
Adelândia;2018;285;46;0;0;0;20;109;0;110;285
Água Fria de Goiás;1999;142;7;;5;15;87;14;;12;2
Água Fria de Goiás;2000;111;1;;3;33;4;2;;68;
Água Fria de Goiás;2001;82;1;;;;2;3;;76;
Água Fria de Goiás;2002;126;;;;;1;14;;111;
Água Fria de Goiás;2003;158;1;;;;3;9;;145;
Água Fria de Goiás;2004;183;1;;;;5;6;;171;
Água Fria de Goiás;2005;126;;;;1;9;28;;88;
Água Fria de Goiás;2006;106;1;;;;18;33;;54;
Água Fria de Goiás;2007;180;;;;;10;27;;143;
Água Fria de Goiás;2008;196;3;;;;3;32;;158;
Água Fria de Goiás;2009;172;2;;;;6;14;;150;
Água Fria de Goiás;2010;207;1;;;;13;15;;178;
Água Fria de Goiás;2011;249;;;;;31;25;;193;
Água Fria de Goiás;2012;244;2;;;2;23;45;;172;
Água Fria de Goiás;2013;297;1;;;;15;44;;237;
Água Fria de Goiás;2014;264;1;;;1;15;17;;230;
Água Fria de Goiás;2015;311;;;;8;40;16;;247;
Água Fria de Goiás;2016;274;4;;;7;33;8;;222;
Água Fria de Goiás;2017;390;3;;;;42;19;;326;
Água Fria de Goiás;2018;783;2;0;0;1;42;27;0;711;783
Água Limpa;1999;7;;;2;;1;2;;1;1
Água Limpa;2000;12;3;;;;1;1;;7;
Água Limpa;2001;19;;;;;3;1;;15;
Água Limpa;2002;13;2;;;;3;;;8;
Água Limpa;2003;15;1;;;;2;;;12;
Água Limpa;2004;19;;;;;1;;;18;
Água Limpa;2005;20;3;;;;;;;17;
Água Limpa;2006;29;;;;;4;10;;15;
Água Limpa;2007;23;1;;;;2;2;;18;
Água Limpa;2008;28;1;;;;4;2;;21;
Água Limpa;2009;27;;;;;3;2;;22;
Água Limpa;2010;35;3;;;;11;;;21;
Água Limpa;2011;41;1;;;;9;1;;30;
Água Limpa;2012;47;8;;;;9;2;;28;
Água Limpa;2013;35;;;;;5;2;;28;
Água Limpa;2014;35;;;;;2;4;;29;
Água Limpa;2015;43;;;;;4;2;;37;
Água Limpa;2016;45;;2;;;6;2;;35;
Água Limpa;2017;34;;;;;5;4;;25;
Água Limpa;2018;70;18;0;0;1;7;5;0;39;70
Águas Lindas de Goiás;1999;537;85;;5;32;257;158;;;
Águas Lindas de Goiás;2000;655;17;2;19;6;172;433;;1;5
Águas Lindas de Goiás;2001;787;17;1;;12;461;281;;1;14
Águas Lindas de Goiás;2002;624;21;;;81;234;269;;19;
Águas Lindas de Goiás;2003;644;15;1;;22;248;338;;6;14
Águas Lindas de Goiás;2004;594;17;;2;17;191;364;;3;
Águas Lindas de Goiás;2005;841;38;;;43;311;444;;5;
Águas Lindas de Goiás;2006;849;26;;;67;339;410;;7;
Águas Lindas de Goiás;2007;1349;54;1;;273;478;527;;16;
Águas Lindas de Goiás;2008;2125;55;3;;707;682;660;;18;
Águas Lindas de Goiás;2009;2956;77;1;;1360;709;795;;14;
Águas Lindas de Goiás;2010;3173;147;;;1298;631;1089;;8;
Águas Lindas de Goiás;2011;2973;135;1;;705;833;1290;;9;
Águas Lindas de Goiás;2012;3193;147;7;;827;1053;1157;;2;
Águas Lindas de Goiás;2013;3251;182;8;;778;1353;926;;4;
Águas Lindas de Goiás;2014;2964;293;4;;363;1171;1123;;10;
Águas Lindas de Goiás;2015;2504;139;;;364;1020;971;;10;
Águas Lindas de Goiás;2016;2503;102;;3;274;1204;909;;11;
Águas Lindas de Goiás;2017;2576;111;;1;233;1318;907;;6;
Águas Lindas de Goiás;2018;3461;176;0;2;322;1669;1284;2;6;3461
Alexânia;1999;457;15;;;268;41;21;;16;96
Alexânia;2000;526;73;35;1;241;106;24;;46;
Alexânia;2001;590;31;4;2;437;50;33;;33;
Alexânia;2002;343;123;;;70;42;75;;33;
Alexânia;2003;345;185;;;5;54;47;;54;
Alexânia;2004;351;166;;3;;78;72;;32;
Alexânia;2005;439;96;;1;137;117;55;;33;
Alexânia;2006;517;118;8;1;158;119;54;;59;
Alexânia;2007;459;201;;;7;105;87;;59;
Alexânia;2008;438;127;;;3;129;106;;73;
Alexânia;2009;721;183;;;13;141;314;2;68;
Alexânia;2010;1168;218;2;;30;200;573;2;143;
Alexânia;2011;814;155;8;;65;238;214;;134;
Alexânia;2012;1541;145;4;;25;893;374;;100;
Alexânia;2013;1677;180;;;88;941;349;4;115;
Alexânia;2014;1808;317;1;1;26;878;449;;136;
Alexânia;2015;1685;229;2;1;38;803;480;;132;
Alexânia;2016;1895;387;;1;36;917;452;;102;
Alexânia;2017;2175;535;3;;45;856;584;;152;
Alexânia;2018;2041;242;0;1;23;800;768;0;207;2041
Aloândia;1999;2;;;;;;;2;;
Aloândia;2000;3;;;;;;2;;1;
Aloândia;2001;2;;;;;;1;;1;
Aloândia;2002;2;;;;;1;1;;;
Aloândia;2003;7;;;;;2;1;;4;
Aloândia;2004;11;;;;;3;;;8;
Aloândia;2005;13;1;;;;4;;;8;
Aloândia;2006;22;15;;;;;3;;4;
Aloândia;2007;7;1;;;;1;;;5;
Aloândia;2008;10;2;;;;4;;;4;
Aloândia;2009;17;;;;;5;2;;10;
Aloândia;2010;34;7;;;;9;;;18;
Aloândia;2011;28;4;;;1;13;2;;8;
Aloândia;2012;39;13;;;1;9;7;;9;
Aloândia;2013;38;8;;;;11;5;;14;
Aloândia;2014;37;14;;;;7;5;;11;
Aloândia;2015;24;13;;;;2;1;;8;
Aloândia;2016;31;17;;;;4;;;10;
Aloândia;2017;34;7;;;;9;;;18;
Aloândia;2018;27;1;0;0;0;15;2;0;9;27
Alto Horizonte;1999;15;2;;;2;2;3;;6;
Alto Horizonte;2000;11;;;;;;6;;5;
Alto Horizonte;2001;10;;;;;1;1;;8;
Alto Horizonte;2002;7;;;;;2;;;5;
Alto Horizonte;2003;19;;11;;;;;;8;
Alto Horizonte;2004;16;;9;;;;;;7;
Alto Horizonte;2005;234;1;205;;;4;4;;20;
Alto Horizonte;2006;259;;236;;;9;5;;9;
Alto Horizonte;2007;504;;347;;11;15;123;;8;
Alto Horizonte;2008;886;;180;;583;13;92;;18;
Alto Horizonte;2009;1191;;106;;912;11;153;;9;
Alto Horizonte;2010;886;42;111;;558;27;127;;21;
Alto Horizonte;2011;640;102;109;;176;47;177;;29;
Alto Horizonte;2012;755;233;167;;181;53;95;;26;
Alto Horizonte;2013;839;476;77;4;104;73;81;;24;
Alto Horizonte;2014;547;214;93;2;63;58;90;;27;
Alto Horizonte;2015;659;215;149;3;186;43;44;;19;
Alto Horizonte;2016;948;573;91;1;166;56;43;;18;
Alto Horizonte;2017;1149;411;71;13;440;56;111;;47;
Alto Horizonte;2018;932;171;99;4;371;61;209;0;17;932
Alto Paraíso de Goiás;1999;212;13;;;43;43;76;;32;5
Alto Paraíso de Goiás;2000;210;;;;1;44;108;;56;1
Alto Paraíso de Goiás;2001;181;;;;5;46;87;;43;
Alto Paraíso de Goiás;2002;202;2;;;;37;95;;68;
Alto Paraíso de Goiás;2003;293;;;;37;37;146;;73;
Alto Paraíso de Goiás;2004;236;1;;1;18;49;106;;61;
Alto Paraíso de Goiás;2005;272;;8;;17;54;97;;96;
Alto Paraíso de Goiás;2006;222;19;;;;48;97;;58;
Alto Paraíso de Goiás;2007;250;;;;7;55;102;;86;
Alto Paraíso de Goiás;2008;278;2;;;6;45;120;;105;
Alto Paraíso de Goiás;2009;315;6;;;;69;149;;91;
Alto Paraíso de Goiás;2010;307;5;;;;54;138;;110;
Alto Paraíso de Goiás;2011;296;3;;;;46;157;;90;
Alto Paraíso de Goiás;2012;366;14;;;;52;179;;121;
Alto Paraíso de Goiás;2013;357;11;;;;80;155;;111;
Alto Paraíso de Goiás;2014;391;17;;;14;66;197;;97;
Alto Paraíso de Goiás;2015;458;7;;;1;94;257;;99;
Alto Paraíso de Goiás;2016;481;8;;;18;77;280;;98;
Alto Paraíso de Goiás;2017;523;29;;;26;90;290;;88;
Alto Paraíso de Goiás;2018;541;30;0;0;17;106;297;0;91;541
Alvorada do Norte;1999;148;5;;2;19;46;50;3;17;6
Alvorada do Norte;2000;97;6;;;;39;38;;14;
Alvorada do Norte;2001;63;1;;2;2;41;10;;7;
Alvorada do Norte;2002;42;1;;;;11;8;;22;
Alvorada do Norte;2003;54;10;;7;;19;1;;17;
Alvorada do Norte;2004;101;7;;2;;29;18;;45;
Alvorada do Norte;2005;152;7;1;1;70;30;20;;23;
Alvorada do Norte;2006;235;6;1;;126;16;75;;11;
Alvorada do Norte;2007;379;;;4;266;69;17;;23;
Alvorada do Norte;2008;77;5;;1;21;14;9;;27;
Alvorada do Norte;2009;177;;;104;;24;28;;21;
Alvorada do Norte;2010;198;;;132;;18;17;;31;
Alvorada do Norte;2011;94;2;;36;;22;17;;17;
Alvorada do Norte;2012;198;7;;84;38;24;27;;18;
Alvorada do Norte;2013;97;8;;2;18;27;26;;16;
Alvorada do Norte;2014;149;1;;3;24;40;45;;36;
Alvorada do Norte;2015;139;4;;3;8;36;59;;29;
Alvorada do Norte;2016;185;5;;;41;40;57;;42;
Alvorada do Norte;2017;301;7;1;;95;76;74;;48;
Alvorada do Norte;2018;282;4;1;0;84;66;68;0;59;282
Amaralina;1999;;;;;;;;;;
Amaralina;2000;3;;;;2;;;;1;
Amaralina;2001;9;;;;;;;;9;
Amaralina;2002;29;1;;;;;;;28;
Amaralina;2003;28;;;;;1;;;27;
Amaralina;2004;79;;;;;2;;;77;
Amaralina;2005;66;;;;;2;;;64;
Amaralina;2006;78;;;;;1;;;77;
