Localidade;Ano;Total;Indústria de Transformação ;Indústria de Extração de Minerais ;Serviços Industriais de Utilidade Pública ;Construção Civil ;Comércio ;Serviços ;Administração Pública Direta e Indireta ;Agricultura, Silvicultura, Criação de Animais, Extração Vegetal e Pesca ;Atividade não especificada ou classificada
Abadia de Goiás;1999;3;;;;3;;;;;
Abadia de Goiás;2000;9;1;;;1;3;1;;3;
Abadia de Goiás;2001;58;11;;;23;20;;;4;
Abadia de Goiás;2002;193;13;;;139;18;20;;3;
Abadia de Goiás;2003;88;15;;;11;29;30;;3;
Abadia de Goiás;2004;127;9;;;7;32;66;;13;
Abadia de Goiás;2005;148;11;;;5;36;64;;32;
Abadia de Goiás;2006;83;29;;;7;15;19;;13;
Abadia de Goiás;2007;188;39;;;18;19;19;;93;
Abadia de Goiás;2008;150;61;;;15;24;21;;29;
Abadia de Goiás;2009;160;57;;;12;36;22;;33;
Abadia de Goiás;2010;302;95;;;82;56;24;;45;
Abadia de Goiás;2011;325;50;;;115;70;34;;56;
Abadia de Goiás;2012;440;100;;;94;95;102;1;48;
Abadia de Goiás;2013;719;125;;;242;207;99;;46;
Abadia de Goiás;2014;965;238;;;310;232;115;;70;
Abadia de Goiás;2015;692;185;3;;157;215;68;;64;
Abadia de Goiás;2016;728;247;;;109;237;58;;77;
Abadia de Goiás;2017;786;219;;;247;143;69;;108;
Abadia de Goiás;2018;701;288;0;0;122;191;48;0;52;701
Abadiânia;1999;119;37;;4;2;31;35;;9;1
Abadiânia;2000;365;48;;1;3;42;218;;53;
Abadiânia;2001;511;56;;3;11;44;317;;77;3
Abadiânia;2002;289;40;;;8;50;131;;60;
Abadiânia;2003;338;39;;;3;22;204;;70;
Abadiânia;2004;236;43;5;;2;25;76;;85;
Abadiânia;2005;280;40;13;;2;38;86;;101;
Abadiânia;2006;304;45;15;;8;39;130;;67;
Abadiânia;2007;607;241;17;;1;106;115;;127;
Abadiânia;2008;415;93;10;;2;60;117;;133;
Abadiânia;2009;450;85;1;;;90;109;;165;
Abadiânia;2010;597;108;9;;;102;193;;185;
Abadiânia;2011;200;11;21;;1;26;49;;92;
Abadiânia;2012;658;94;30;;15;150;229;;140;
Abadiânia;2013;646;127;18;;;156;219;;126;
Abadiânia;2014;766;117;22;;5;155;308;;159;
Abadiânia;2015;819;121;29;1;2;177;362;;127;
Abadiânia;2016;757;78;18;;11;229;326;;95;
Abadiânia;2017;800;92;8;19;29;200;351;;101;
Abadiânia;2018;855;76;14;0;39;216;368;0;142;855
Acreúna;1999;1298;425;;;34;121;278;;435;5
Acreúna;2000;1243;166;;;5;89;91;;892;
Acreúna;2001;1264;82;;;23;96;136;;927;
Acreúna;2002;1366;145;;;12;105;114;;990;
