Localidade;Ano;Varejo;Atacado
Abadia de Goiás;2000;30;  
Abadia de Goiás;2001;42;2
Abadia de Goiás;2002;50;3
Abadia de Goiás;2003;59;2
Abadia de Goiás;2004;53;
Abadia de Goiás;2005;63;
Abadia de Goiás;2006;60;
Abadia de Goiás;2007;68;
Abadia de Goiás;2008;107;
Abadia de Goiás;2009;126;
Abadia de Goiás;2010;180;221
Abadia de Goiás;2011;106;16
Abadia de Goiás;2012;302;19
Abadia de Goiás;2013;413;27
Abadia de Goiás;2014;380;169
Abadia de Goiás;2015;363;27
Abadia de Goiás;2016;296;27
Abadia de Goiás;2017;330;64
Abadia de Goiás;2018;287;89
Abadiânia;1999;117;  
Abadiânia;2000;120;  
Abadiânia;2001;119;  
Abadiânia;2002;142;
Abadiânia;2003;161;1
Abadiânia;2004;179;
Abadiânia;2005;227;
Abadiânia;2006;155;
Abadiânia;2007;151;
Abadiânia;2008;168;
Abadiânia;2009;198;
Abadiânia;2010;215;471
Abadiânia;2011;236;
Abadiânia;2012;274;2
Abadiânia;2013;289;2
Abadiânia;2014;287;4
Abadiânia;2015;335;3
Abadiânia;2016;358;3
Abadiânia;2017;351;3
Abadiânia;2018;353;4
Acreúna;1999;203;14
Acreúna;2000;241;31
Acreúna;2001;267;25
Acreúna;2002;260;52
Acreúna;2003;284;40
Acreúna;2004;365;
Acreúna;2005;382;
Acreúna;2006;359;
Acreúna;2007;365;
Acreúna;2008;428;
Acreúna;2009;452;
Acreúna;2010;436;361
Acreúna;2011;511;124
Acreúna;2012;578;124
Acreúna;2013;580;137
Acreúna;2014;597;122
Acreúna;2015;610;120
Acreúna;2016;606;113
Acreúna;2017;591;133
Acreúna;2018;563;157
Adelândia;1999;1;  
Adelândia;2000;1;  
Adelândia;2001;1;  
Adelândia;2002;2;
Adelândia;2003;4;
Adelândia;2004;6;
Adelândia;2005;5;
Adelândia;2006;7;
Adelândia;2007;7;
Adelândia;2008;11;
Adelândia;2009;22;
Adelândia;2010;13;6
Adelândia;2011;10;
Adelândia;2012;16;46
Adelândia;2013;10;
Adelândia;2014;10;
Adelândia;2015;12;
Adelândia;2016;15;
Adelândia;2017;15;
Adelândia;2018;11;  
Água Fria de Goiás;1999;11;3
Água Fria de Goiás;2000;16;1
Água Fria de Goiás;2001;13;  
Água Fria de Goiás;2002;9;
Água Fria de Goiás;2003;17;
Água Fria de Goiás;2004;23;
Água Fria de Goiás;2005;22;
Água Fria de Goiás;2006;23;
Água Fria de Goiás;2007;26;
Água Fria de Goiás;2008;26;
Água Fria de Goiás;2009;29;
Água Fria de Goiás;2010;28;52
Água Fria de Goiás;2011;23;1
Água Fria de Goiás;2012;32;1
Água Fria de Goiás;2013;31;1
Água Fria de Goiás;2014;36;13
Água Fria de Goiás;2015;41;1
Água Fria de Goiás;2016;37;3
Água Fria de Goiás;2017;34;34
Água Fria de Goiás;2018;30;43
Água Limpa;1999;3;  
Água Limpa;2000;34;  
Água Limpa;2001;7;  
Água Limpa;2002;5;
Água Limpa;2003;1;
Água Limpa;2004;4;
Água Limpa;2005;3;
Água Limpa;2006;17;
Água Limpa;2007;14;
Água Limpa;2008;19;
Água Limpa;2009;22;
Água Limpa;2010;27;3
Água Limpa;2011;24;
Água Limpa;2012;28;
Água Limpa;2013;25;
Água Limpa;2014;23;
Água Limpa;2015;23;
Água Limpa;2016;26;
Água Limpa;2017;20;
Água Limpa;2018;19;  
Águas Lindas de Goiás;1999;376;38
Águas Lindas de Goiás;2000;540;28
Águas Lindas de Goiás;2001;566;35
Águas Lindas de Goiás;2002;672;49
Águas Lindas de Goiás;2003;556;141
Águas Lindas de Goiás;2004;641;
Águas Lindas de Goiás;2005;989;
Águas Lindas de Goiás;2006;1062;
Águas Lindas de Goiás;2007;1283;
Águas Lindas de Goiás;2008;1480;
Águas Lindas de Goiás;2009;1650;
Águas Lindas de Goiás;2010;1874;2588
Águas Lindas de Goiás;2011;1903;105
Águas Lindas de Goiás;2012;2430;136
Águas Lindas de Goiás;2013;2900;149
Águas Lindas de Goiás;2014;2868;176
Águas Lindas de Goiás;2015;2945;140
Águas Lindas de Goiás;2016;2817;168
Águas Lindas de Goiás;2017;2931;150
Águas Lindas de Goiás;2018;2956;314
Alexânia;1999;131;11
Alexânia;2000;148;9
Alexânia;2001;199;18
Alexânia;2002;216;28
Alexânia;2003;238;25
Alexânia;2004;257;
Alexânia;2005;310;
Alexânia;2006;311;
Alexânia;2007;363;
Alexânia;2008;382;
Alexânia;2009;447;
Alexânia;2010;477;614
Alexânia;2011;566;28
Alexânia;2012;1099;35
Alexânia;2013;1359;44
Alexânia;2014;1399;55
Alexânia;2015;1527;109
Alexânia;2016;1495;75
Alexânia;2017;1477;64
Alexânia;2018;1340;38
Aloândia;1999;  ;  
Aloândia;2000;5;  
Aloândia;2001;1;  
Aloândia;2002;2;
Aloândia;2003;4;
Aloândia;2004;6;
Aloândia;2005;11;
Aloândia;2006;13;
Aloândia;2007;11;
Aloândia;2008;13;
Aloândia;2009;17;
Aloândia;2010;23;7
Aloândia;2011;22;
Aloândia;2012;23;
Aloândia;2013;29;
Aloândia;2014;32;
Aloândia;2015;36;
Aloândia;2016;31;
Aloândia;2017;32;
Aloândia;2018;29;  
Alto Horizonte;1999;  ;  
Alto Horizonte;2000;  ;  
Alto Horizonte;2001;  ;  
Alto Horizonte;2002;5;
Alto Horizonte;2003;3;
Alto Horizonte;2004;6;
Alto Horizonte;2005;10;
Alto Horizonte;2006;17;
Alto Horizonte;2007;26;
Alto Horizonte;2008;34;
Alto Horizonte;2009;41;
Alto Horizonte;2010;55;179
Alto Horizonte;2011;52;28
Alto Horizonte;2012;53;120
