Localidade;Ano;AnosIniciaisRedeMunicipal;AnosIniciaisRedeEstadual;AnosIniciaisRedeFederal;AnosIniciaisRedePública;AnosFinaisRedeMunicipal;AnosFinaisRedeEstadual;AnosFinaisRedeFederal;AnosFinaisRedePública
Abadia de Goiás;2005;3,9;3,3;;3,6;2,3;3,4;;3
Abadia de Goiás;2007;4,3;;;4,3;3,9;2,9;;3,3
Abadia de Goiás;2009;4,9;;;4,9;4,1;3,7;;3,7
Abadia de Goiás;2011;5,7;;;5,7;3,9;4;;3,8
Abadia de Goiás;2013;6;;;6;4,5;4;;4,2
Abadia de Goiás;2015;5,5;;;5,5;4,6;3,9;;4,4
Abadia de Goiás;2017;6,1;    ;    ;6,1;4,8;4,3;    ;4,6
Abadiânia;2005;4;4,8;;4,3;;3,2;;3,2
Abadiânia;2007;3,8;2,9;;3,9;;3,6;;3,6
Abadiânia;2009;4,6;4,6;;4,7;;3,8;;3,8
Abadiânia;2011;4,8;5,6;;5;;3,6;;3,6
Abadiânia;2013;4,9;;;4,9;;4,9;;4,9
Abadiânia;2015;5,1;;;5,1;;4,9;;4,9
Abadiânia;2017;5,2;    ;    ;5,2;    ;5,2;    ;5,2
Acreúna;2005;3,8;4;;3,8;;3,4;;3,4
Acreúna;2007;3,6;4,4;;3,7;2,8;3,8;;3,7
Acreúna;2009;4,9;;;4,9;;3,6;;3,6
Acreúna;2011;5,4;;;5,4;;3,8;;3,8
Acreúna;2013;6,3;;;6,3;;4,6;;4,6
Acreúna;2015;6;;;6;4,2;4,9;;4,8
Acreúna;2017;6,2;    ;    ;6,2;5;5,4;    ;5,4
Adelândia;2005;;3,8;;4;;3,3;;3,3
Adelândia;2007;;4,6;;4,4;;3,5;;3,5
Adelândia;2009;;4,9;;4,8;;3,5;;3,5
Adelândia;2011;;4,8;;4,7;;3,2;;3,2
Adelândia;2013;;5,3;;5,3;;4,5;;4,5
Adelândia;2015;5,4;;;5,4;;4,3;;4,3
Adelândia;2017;4,7;    ;    ;4,7;    ;4,9;    ;4,9
Água Fria de Goiás;2005;3,6;;;3,7;;3,4;;3,4
Água Fria de Goiás;2007;4,4;;;4,4;;;;
Água Fria de Goiás;2009;3,9;;;3,9;;3,9;;3,8
Água Fria de Goiás;2011;4;;;4;;4,3;;4,3
Água Fria de Goiás;2013;5,4;;;5,4;;3,6;;3,5
Água Fria de Goiás;2015;5,2;;;5,1;;4,8;;4,7
Água Fria de Goiás;2017;5,3;    ;    ;5,3;    ;5,5;    ;5,5
Água Limpa;2005;;;;;;3,1;;3,1
Água Limpa;2007;3,3;4,7;;3,7;;4;;4
Água Limpa;2009;4,8;;;4,8;;4,1;;4,1
Água Limpa;2011;5;;;;;3,9;;3,9
Água Limpa;2013;6;;;6;;4,6;;4,6
Água Limpa;2015;6,2;;;6,2;;3,8;;3,8
Água Limpa;2017;5,9;    ;    ;5,9;    ;6,1;    ;6,1
Águas Lindas de Goiás;2005;2,9;;;2,9;;3,1;;3,1
Águas Lindas de Goiás;2007;3,7;;;3,7;;2,7;;2,7
Águas Lindas de Goiás;2009;3,7;;;3,7;;2,8;;2,8
Águas Lindas de Goiás;2011;4,4;;;4,4;;3,2;;3,2
Águas Lindas de Goiás;2013;4,4;;;4,4;;3,4;;3,4
Águas Lindas de Goiás;2015;4,7;;;4,7;;3,4;;3,4
Águas Lindas de Goiás;2017;5,6;    ;    ;5,6;    ;4,4;    ;4,4
Alexânia;2005;3,9;;;3,9;3,9;3,5;;3,6
Alexânia;2007;4,2;;;4,2;3,9;3,5;;3,6
Alexânia;2009;4,5;;;4,5;3,9;3,7;;3,8
Alexânia;2011;4,8;;;4,8;3,8;4,1;;4
Alexânia;2013;5,2;;;5,2;4,1;4,4;;4,3
Alexânia;2015;5;;;5;4;4,4;;4,3
Alexânia;2017;5,5;    ;    ;5,5;4,1;5,1;    ;4,9
Aloândia;2005;;4,4;;4,4;;3,7;;3,7
Aloândia;2007;;4,1;;4,1;;3,5;;3,5
Aloândia;2009;;5,4;;5,4;;;;
Aloândia;2011;;5,7;;5,7;;4,8;;4,8
Aloândia;2013;;6,4;;6,4;;5,2;;5,2
Aloândia;2015;;;;;;5,5;;5,5
Aloândia;2017;    ;6,9;    ;6,9;    ;5,6;    ;5,6
Alto Horizonte;2005;3,5;;;3,5;;3,4;;3,4
Alto Horizonte;2007;4,3;;;4,3;;3,5;;3,5
Alto Horizonte;2009;4,4;;;4,4;;2,9;;2,9
Alto Horizonte;2011;5,4;;;5,4;3,8;;;3,8
Alto Horizonte;2013;6;;;6;3,7;;;3,7
Alto Horizonte;2015;6,1;;;6,1;5,1;;;5,1
Alto Horizonte;2017;6,6;    ;    ;6,6;    ;4,9;    ;5,3
Alto Paraíso de Goiás;2005;;;;;;3,7;;3,8
Alto Paraíso de Goiás;2007;3,5;;;3,5;;3,8;;3,8
