Localidade;Ano;IDHM – Geral;IDHM - Educação;IDHM - Longevidade;IDHM - Renda
Abadia de Goiás;1991;0,408;0,183;0,658;0,563
Abadia de Goiás;2000;0,569;0,386;0,765;0,623
Abadia de Goiás;2010;0,708;0,622;0,83;0,687
Abadiânia;1991;0,41;0,188;0,656;0,56
Abadiânia;2000;0,503;0,292;0,73;0,598
Abadiânia;2010;0,689;0,579;0,841;0,671
Acreúna;1991;0,429;0,2;0,658;0,599
Acreúna;2000;0,571;0,358;0,783;0,665
Acreúna;2010;0,686;0,553;0,822;0,71
Adelândia;1991;0,437;0,224;0,644;0,577
Adelândia;2000;0,529;0,357;0,712;0,582
Adelândia;2010;0,702;0,622;0,836;0,664
Água Fria de Goiás;1991;0,315;0,102;0,629;0,489
Água Fria de Goiás;2000;0,481;0,25;0,742;0,599
Água Fria de Goiás;2010;0,671;0,55;0,817;0,672
Água Limpa;1991;0,454;0,247;0,679;0,557
Água Limpa;2000;0,585;0,414;0,758;0,639
Água Limpa;2010;0,722;0,663;0,821;0,691
Águas Lindas de Goiás;1991;0,387;0,145;0,667;0,6
Águas Lindas de Goiás;2000;0,497;0,277;0,762;0,583
Águas Lindas de Goiás;2010;0,686;0,588;0,848;0,647
Alexânia;1991;0,378;0,158;0,647;0,529
Alexânia;2000;0,52;0,318;0,735;0,6
Alexânia;2010;0,682;0,568;0,841;0,664
Aloândia;1991;0,453;0,269;0,662;0,521
Aloândia;2000;0,587;0,4;0,756;0,668
Aloândia;2010;0,697;0,585;0,834;0,694
Alto Horizonte;1991;0,342;0,11;0,687;0,528
Alto Horizonte;2000;0,557;0,371;0,795;0,585
Alto Horizonte;2010;0,719;0,624;0,841;0,709
Alto Paraíso de Goiás;1991;0,428;0,206;0,687;0,555
Alto Paraíso de Goiás;2000;0,572;0,371;0,787;0,64
Alto Paraíso de Goiás;2010;0,713;0,611;0,819;0,723
Alvorada do Norte;1991;0,402;0,193;0,618;0,545
Alvorada do Norte;2000;0,533;0,367;0,702;0,587
Alvorada do Norte;2010;0,66;0,548;0,819;0,64
Amaralina;1991;0,264;0,051;0,663;0,547
Amaralina;2000;0,484;0,27;0,751;0,558
Amaralina;2010;0,609;0,489;0,813;0,569
Americano do Brasil;1991;0,422;0,198;0,643;0,591
Americano do Brasil;2000;0,591;0,416;0,754;0,658
Americano do Brasil;2010;0,7;0,631;0,813;0,669
Amorinópolis;1991;0,435;0,219;0,64;0,589
Amorinópolis;2000;0,559;0,406;0,712;0,605
Amorinópolis;2010;0,681;0,579;0,813;0,672
Anápolis;1991;0,518;0,32;0,67;0,65
Anápolis;2000;0,641;0,491;0,776;0,691
Anápolis;2010;0,737;0,66;0,822;0,737
Anhanguera;1991;0,518;0,38;0,702;0,52
Anhanguera;2000;0,589;0,417;0,773;0,635
Anhanguera;2010;0,725;0,657;0,802;0,724
Anicuns;1991;0,428;0,211;0,67;0,554
Anicuns;2000;0,598;0,426;0,782;0,642
Anicuns;2010;0,714;0,627;0,834;0,695
Aparecida de Goiânia;1991;0,445;0,229;0,658;0,584
Aparecida de Goiânia;2000;0,582;0,403;0,779;0,628
Aparecida de Goiânia;2010;0,718;0,62;0,834;0,716
Aparecida do Rio Doce;1991;0,373;0,143;0,687;0,527
Aparecida do Rio Doce;2000;0,565;0,363;0,786;0,632
Aparecida do Rio Doce;2010;0,693;0,583;0,814;0,7
Aporé;1991;0,372;0,129;0,679;0,589
Aporé;2000;0,574;0,339;0,798;0,698
Aporé;2010;0,693;0,584;0,823;0,692
Araçu;1991;0,416;0,196;0,68;0,541
Araçu;2000;0,567;0,403;0,779;0,58
Araçu;2010;0,693;0,578;0,838;0,686
Aragarças;1991;0,414;0,195;0,653;0,556
Aragarças;2000;0,594;0,443;0,764;0,619
Aragarças;2010;0,732;0,68;0,83;0,694
Aragoiânia;1991;0,45;0,249;0,662;0,553
Aragoiânia;2000;0,562;0,381;0,749;0,622
Aragoiânia;2010;0,684;0,56;0,837;0,683
Araguapaz;1991;0,362;0,138;0,662;0,518
Araguapaz;2000;0,553;0,351;0,742;0,651
Araguapaz;2010;0,674;0,54;0,814;0,696
Arenópolis;1991;0,415;0,204;0,621;0,566
Arenópolis;2000;0,534;0,353;0,706;0,612
Arenópolis;2010;0,687;0,582;0,826;0,674
Aruanã;1991;0,355;0,111;0,682;0,589
Aruanã;2000;0,504;0,279;0,756;0,607
Aruanã;2010;0,675;0,526;0,826;0,708
Aurilândia;1991;0,48;0,284;0,652;0,596
Aurilândia;2000;0,588;0,447;0,76;0,597
Aurilândia;2010;0,7;0,62;0,836;0,661
Avelinópolis;1991;0,43;0,201;0,702;0,565
Avelinópolis;2000;0,559;0,368;0,764;0,62
Avelinópolis;2010;0,66;0,508;0,828;0,682
Baliza;1991;0,321;0,105;0,667;0,471
Baliza;2000;0,49;0,263;0,749;0,598
Baliza;2010;0,655;0,558;0,819;0,614
Barro Alto;1991;0,399;0,187;0,684;0,495
Barro Alto;2000;0,543;0,356;0,789;0,569
Barro Alto;2010;0,742;0,682;0,854;0,701
Bela Vista de Goiás;1991;0,446;0,218;0,679;0,6
Bela Vista de Goiás;2000;0,56;0,365;0,774;0,623
Bela Vista de Goiás;2010;0,716;0,607;0,837;0,721
Bom Jardim de Goiás;1991;0,421;0,203;0,647;0,567
Bom Jardim de Goiás;2000;0,542;0,356;0,735;0,609
Bom Jardim de Goiás;2010;0,67;0,545;0,811;0,68
Bom Jesus de Goiás;1991;0,45;0,222;0,684;0,601
Bom Jesus de Goiás;2000;0,57;0,363;0,782;0,654
Bom Jesus de Goiás;2010;0,701;0,573;0,86;0,699
Bonfinópolis;1991;0,413;0,2;0,658;0,534
Bonfinópolis;2000;0,548;0,338;0,777;0,626
Bonfinópolis;2010;0,683;0,58;0,817;0,671
Bonópolis;1991;0,261;0,056;0,618;0,515
Bonópolis;2000;0,451;0,234;0,7;0,559
Bonópolis;2010;0,63;0,488;0,813;0,63
Brazabrantes;1991;0,415;0,209;0,658;0,521
Brazabrantes;2000;0,538;0,367;0,731;0,582
Brazabrantes;2010;0,701;0,615;0,826;0,677
Britânia;1991;0,429;0,22;0,67;0,537
Britânia;2000;0,548;0,351;0,775;0,604
Britânia;2010;0,672;0,546;0,802;0,692
Buriti Alegre;1991;0,493;0,295;0,648;0,626
Buriti Alegre;2000;0,589;0,414;0,769;0,642
Buriti Alegre;2010;0,71;0,614;0,831;0,7
Buriti de Goiás;1991;0,401;0,21;0,634;0,486
Buriti de Goiás;2000;0,53;0,377;0,717;0,552
Buriti de Goiás;2010;0,687;0,57;0,806;0,707
Buritinópolis;1991;0,261;0,066;0,665;0,407
Buritinópolis;2000;0,433;0,252;0,75;0,431
Buritinópolis;2010;0,704;0,591;0,813;0,727
Cabeceiras;1991;0,392;0,18;0,635;0,528
Cabeceiras;2000;0,546;0,4;0,702;0,579
Cabeceiras;2010;0,668;0,571;0,819;0,637
Cachoeira Alta;1991;0,475;0,25;0,676;0,635
Cachoeira Alta;2000;0,579;0,384;0,75;0,675
Cachoeira Alta;2010;0,71;0,569;0,84;0,75
