Localidade;Ano;IDM Educacao;Adequacao dos professores do ensino infantil;Adequacao dos professores do ensino fundamental;Adequacao dos professores do ensino médio;Atendimento educacional da população de 4 a 5 anos;Atendimento educacional da população de 6 a 14 anos;Atendimento educacional da população de 15 a 17 anos;IDEB5ano;IDEB9ano;Infraestrutura dos predios das escolas publicas urbanas
Abadia de Goiás;2012;4,92833333333333;;;;7,6;7,53;3;4,9;3,7;2,84
Abadia de Goiás;2014;6,22666666666667;;;;6,59;10;8,9;5,7;3,8;2,37
Abadia de Goiás;2016;5,66333333333333;3,87;5,74;2,81;7,47;10;10;5,5;4,4;1,18
Abadia de Goiás;2018;6,24888888888889;4,2;5,58;4,66;10;10;10;6,1;4,6;1,1
Abadiânia;2012;4,20833333333334;;;;3,39;5,09;5,99;4,7;3,8;2,28
Abadiânia;2014;4,27833333333333;;;;3,29;3,37;6,8;5;3,6;3,61
Abadiânia;2016;3,80333333333333;5;4,03;4,22;3,01;2,3;2,46;5,1;4,9;3,21
Abadiânia;2018;4,91777777777778;5,33;4,02;3,4;5,26;6,09;7,51;5,2;5,2;2,25
Acreúna;2012;5,51833333333334;;;;7,99;7,49;4,81;4,9;3,6;4,32
Acreúna;2014;5,54666666666667;;;;6,17;6,84;7,13;5,4;3,8;3,94
Acreúna;2016;4,56;4,75;2,89;4,38;5,21;4,97;4,01;6;4,8;4,03
Acreúna;2018;5,74333333333333;4,38;4,34;3,6;6,79;6,85;10;6,2;5,4;4,13
Adelândia;2012;6,15666666666667;;;;7,61;10;6,29;4,8;3,5;4,74
Adelândia;2014;6,21666666666667;;;;9,28;9,12;7,82;4,7;3,2;3,18
Adelândia;2016;5,51888888888889;5;4,5;2,35;8,99;8,08;6,81;5,4;4,3;4,24
Adelândia;2018;5,69555555555556;5;3,3;3,63;10;8,18;7,51;4,7;4,9;4,04
Água Fria de Goiás;2012;4,46166666666667;;;;1,21;7,77;7,11;3,9;3,8;2,98
Água Fria de Goiás;2014;4,13;;;;0,54;8,31;3,88;4;4,3;3,75
Água Fria de Goiás;2016;4,60222222222222;3,33;2,53;1,89;2,1;10;10;5,1;4,7;1,77
Água Fria de Goiás;2018;4,46111111111111;8,57;4,04;1,4;2,69;6,4;4,52;5,3;5,5;1,73
Água Limpa;2012;5,30166666666667;;;;7,76;7,78;3,69;4,8;4,1;3,68
Água Limpa;2014;4,11;;;;4,34;6,35;2,78;;3,9;3,18
Água Limpa;2016;5,88888888888889;9,17;4,86;2,03;6,53;10;7,82;6,2;3,8;2,59
Água Limpa;2018;6,23888888888889;8,33;4,17;2,44;10;10;6,52;5,9;6,1;2,69
Águas Lindas de Goiás;2012;4,56833333333333;;;;5,95;7,06;5,51;3,7;2,8;2,39
Águas Lindas de Goiás;2014;3,92;;;;4,32;5,64;2,85;4,4;3,2;3,11
Águas Lindas de Goiás;2016;4,70666666666667;4,9;4,75;4,11;3,49;9,7;4;4,7;3,4;3,31
Águas Lindas de Goiás;2018;5,51888888888889;6,11;5,54;4,07;7,98;8,14;4,84;5,6;4,4;2,99
Alexânia;2012;4,22666666666667;;;;3,14;7,42;4,39;4,5;3,8;2,11
