Localidade;Ano;IDM Geral;IDM Economia;IDM Educacao;IDM Infraestrutura;IDM Saude;IDM Seguranca;IDM Trabalho
Abadia de Goiás;2012;4,435;1,09;4,93;4,37;7,65;6,34;2,23
Abadia de Goiás;2014;5,37166666666667;2,53;6,23;4,92;7,06;7,53;3,96
Abadia de Goiás;2016;4,93833333333333;1,8;5,66;5,17;7,22;5,92;3,86
Abadia de Goiás;2018;5,02;1,39;6,25;5,45;7,74;5,38;3,91
Abadiânia;2012;3,87166666666667;1,19;4,21;3,06;6,25;6,34;2,18
Abadiânia;2014;4,31333333333333;1,84;4,28;3,04;6,83;7,84;2,05
Abadiânia;2016;4,235;1,86;3,8;2,73;5,83;7,61;3,58
Abadiânia;2018;4,39333333333333;1,3;4,92;2,51;6,6;7,10;3,93
Acreúna;2012;4,55833333333333;1,6;5,52;3,42;7,37;6,97;2,47
Acreúna;2014;4,655;2,3;5,55;3,6;6,94;6,78;2,76
Acreúna;2016;4,83;2,01;4,56;3,72;7,47;7,93;3,29
Acreúna;2018;4,50333333333333;1,86;5,74;3,7;6,84;5,70;3,18
Adelândia;2012;4,52833333333333;1,09;6,16;3,11;5,77;9,21;1,83
Adelândia;2014;5,01666666666667;1,45;6,22;3,49;7,68;9,44;1,82
Adelândia;2016;4,70833333333333;1,22;5,52;3,22;6,62;9,46;2,21
Adelândia;2018;4,76666666666667;0,95;5,7;3,39;7,49;8,21;2,86
Água Fria de Goiás;2012;3,84;1,2;4,46;1,7;5,47;8,37;1,84
Água Fria de Goiás;2014;4,33;1,98;4,13;1,75;6,71;8,96;2,45
Água Fria de Goiás;2016;4,21;1,87;4,6;1,67;6,4;7,62;3,1
Água Fria de Goiás;2018;4,78666666666667;2;4,46;1,54;8,47;8,78;3,47
Água Limpa;2012;4,90666666666667;1,37;5,3;3,21;7,87;9,83;1,86
Água Limpa;2014;4,80666666666667;1,61;4,11;3,23;8,26;9,19;2,44
Água Limpa;2016;4,38166666666667;1,39;5,89;2,58;6,95;7,03;2,45
Água Limpa;2018;4,86166666666667;0,87;6,24;3,47;7,93;8,39;2,27
Águas Lindas de Goiás;2012;3,8;1,32;4,57;2,52;5,53;6,97;1,89
Águas Lindas de Goiás;2014;3,52666666666667;1,83;3,92;2,84;3,85;6,57;2,15
Águas Lindas de Goiás;2016;3,95;1,78;4,71;3,04;4,45;6,35;3,37
Águas Lindas de Goiás;2018;4,03;1,36;5,52;3,39;3,65;6,98;3,28
Alexânia;2012;3,84666666666667;1,29;4,22;2,79;7,52;4,81;2,45
Alexânia;2014;4,3;2,05;4,94;3,12;5,76;7,04;2,89
Alexânia;2016;4,48666666666667;2,31;5,19;3,08;6,64;6,07;3,63
Alexânia;2018;4,81833333333333;2,41;5,41;3,02;7,22;6,80;4,05
Aloândia;2012;4,72666666666667;1,13;5,24;3,8;7,88;8,35;1,96
Aloândia;2014;5,225;1,53;5,7;3,74;9,24;8,90;2,24
Aloândia;2016;5,14;1,58;5,43;3,66;8,34;9,00;2,83
Aloândia;2018;5,045;1,22;5,8;3,81;8,6;8,27;2,57
Alto Horizonte;2012;5,38;2,82;5,58;2,98;8,06;7,84;5
Alto Horizonte;2014;5,59833333333333;3,38;6,54;3,39;6,8;8,39;5,09
Alto Horizonte;2016;5,33;2,28;5,19;3,27;7,24;8,74;5,26
Alto Horizonte;2018;4,98833333333333;1,55;6,13;2,98;7,07;7,66;4,54
Alto Paraíso de Goiás;2012;4,21833333333333;1,24;5,65;3,71;7,49;5,02;2,2
Alto Paraíso de Goiás;2014;4,49166666666667;2,01;5,83;4,04;7,37;5,46;2,24
Alto Paraíso de Goiás;2016;4,04166666666667;1,94;4,25;4,02;7,39;3,36;3,29
Alto Paraíso de Goiás;2018;4,23333333333333;1,76;5,55;4,5;7,87;2,14;3,58
Alvorada do Norte;2012;4,56333333333333;0,9;5,12;2,91;8,22;8,20;2,03
Alvorada do Norte;2014;4,74333333333333;1,57;6,08;3,27;8,5;6,99;2,05
Alvorada do Norte;2016;4,38;1,46;5,08;3,19;7,46;5,92;3,17
Alvorada do Norte;2018;4,62333333333333;1,1;5,09;3,38;8,21;6,51;3,45
Amaralina;2012;3,86333333333333;1,19;3,01;0,87;6,96;9,48;1,67
Amaralina;2014;4;1,52;4,48;0,87;5,41;9,65;2,07
Amaralina;2016;4,46166666666667;1,44;5,63;1,04;7,91;8,19;2,56
Amaralina;2018;4,55666666666667;1,05;5,87;1,11;7,33;9,29;2,69
Americano do Brasil;2012;4,95333333333333;1,22;5,41;3,2;8,1;8,84;2,95
Americano do Brasil;2014;4,72666666666667;1,58;5,71;3,29;7,88;8,64;1,26
Americano do Brasil;2016;4,62166666666667;0,83;5,31;3,22;7,92;7,61;2,84
Americano do Brasil;2018;5,07666666666667;1,27;5,96;3,53;8,33;8,71;2,66
Amorinópolis;2012;4,90166666666667;1,09;6,34;3,18;7,01;9,67;2,12
Amorinópolis;2014;5,24666666666667;1,54;5,76;3,17;8,78;9,86;2,37
Amorinópolis;2016;4,95;1,46;5,54;3,03;8,44;9,29;1,94
Amorinópolis;2018;4,92333333333333;0,94;5,67;2,96;9;8,16;2,81
Anápolis;2012;4,64166666666667;2,71;4,73;5,14;6,47;5,83;2,97
Anápolis;2014;5,01666666666667;3,37;5,09;5,48;6,99;6,11;3,06
Anápolis;2016;5,33166666666667;3,18;5,88;5,37;7,02;6,36;4,18
Anápolis;2018;5,25166666666667;2,93;6,16;5,44;6,29;6,31;4,38
Anhanguera;2012;4,33;1,04;5,13;4,74;6,69;6,00;2,38
Anhanguera;2014;4,09166666666667;1,32;3,2;4,77;7,27;5,55;2,44
Anhanguera;2016;4,54166666666667;1,38;5,12;4,84;6,29;6,33;3,29
Anhanguera;2018;5,03833333333333;1,06;4,6;5,6;7,9;7,65;3,42
Anicuns;2012;4,79833333333333;1,19;5,72;3,99;7,09;8,35;2,45
Anicuns;2014;4,67666666666667;1,48;5,1;4,04;6,79;8,20;2,45
Anicuns;2016;4,61166666666667;1,58;4,76;3,8;5,87;9,03;2,63
Anicuns;2018;4,64666666666667;1,34;5,32;3,7;6,61;8,45;2,46
Aparecida de Goiânia;2012;4,62333333333333;2,54;4,54;3,61;8,09;6,29;2,67
Aparecida de Goiânia;2014;4,30833333333333;3,17;3,96;3,8;5,62;6,54;2,76
Aparecida de Goiânia;2016;4,535;2,9;4,92;3,97;5,9;6,15;3,37
Aparecida de Goiânia;2018;4,67;2,51;4,59;4,34;5,77;7,13;3,68
Aparecida do Rio Doce;2012;5,34666666666667;1,45;3,9;6,14;6,56;9,92;4,11
Aparecida do Rio Doce;2014;5,51;1,6;6,24;6,26;6,42;9,92;2,62
Aparecida do Rio Doce;2016;5,65666666666667;1,57;6,77;6,03;7,35;9,00;3,22
Aparecida do Rio Doce;2018;5,42;1,37;6;6,47;7,62;7,72;3,34
Aporé;2012;5,175;2,05;6,34;2,83;7,92;9,31;2,6
Aporé;2014;5,51666666666667;2,37;6,36;2,99;8,42;9,62;3,34
Aporé;2016;4,93833333333333;2,31;5,07;2,75;8,61;8,29;2,6
Aporé;2018;4,665;2,54;5,52;2,79;7,7;6,67;2,77
Araçu;2012;4,70833333333333;1,06;5,63;3,58;8,22;8,73;1,03
Araçu;2014;5,40833333333333;1,48;6,75;3,75;8,22;9,20;3,05
Araçu;2016;5,01666666666667;1,43;6,18;3,91;8,28;8,16;2,14
Araçu;2018;5,31333333333333;1,12;7,1;4,34;8,01;8,53;2,78
Aragarças;2012;4,75333333333333;0,75;6,24;3,59;8,07;7,55;2,32
Aragarças;2014;4,405;1,57;3,93;3,75;7,45;8,10;1,63
Aragarças;2016;4,71;1,46;5,1;3,75;7,8;6,98;3,17
Aragarças;2018;4,57833333333333;1,01;5,57;3,66;7,7;6,17;3,36
Aragoiânia;2012;4,40666666666667;1,15;4,48;2,7;7,02;9,00;2,09
Aragoiânia;2014;4,67666666666667;1,63;4,55;2,92;7,5;9,13;2,33
Aragoiânia;2016;4,41166666666667;1,71;5,13;3,01;7,44;6,25;2,93
Aragoiânia;2018;4,55833333333333;1,34;5,66;3,11;8,07;6,51;2,66
Araguapaz;2012;4,70166666666667;1,4;4,49;3,51;7,77;9,13;1,91
Araguapaz;2014;4,68;1,57;4,2;3,73;7,46;8,72;2,4
Araguapaz;2016;4,69166666666667;1,33;4,03;3,59;7,51;8,77;2,92
Araguapaz;2018;4,40333333333333;1,12;3,89;3,73;7,87;6,98;2,83
Arenópolis;2012;5,12666666666667;1,68;5,5;2,95;9,3;9,01;2,32
Arenópolis;2014;5,45833333333333;1,94;5,6;3,46;9;9,44;3,31
Arenópolis;2016;5,46166666666667;2,22;5,6;3,68;9,28;9,23;2,76
Arenópolis;2018;4,91833333333333;1,34;5,66;3,78;8,72;6,84;3,17
Aruanã;2012;4,31333333333333;1,25;4,66;3,57;7,94;6,33;2,13
Aruanã;2014;4,30333333333333;1,94;4,44;4,43;7,94;4,59;2,48
Aruanã;2016;4,86666666666667;1,94;5,42;4,74;7,39;7,16;2,55
Aruanã;2018;4,28333333333333;1,7;4,79;4,94;6,8;4,69;2,78
Aurilândia;2012;4,72666666666667;1,17;6,25;3,79;6,49;8,21;2,45
Aurilândia;2014;4,23;1,48;4,62;3,91;6,73;6,55;2,09
Aurilândia;2016;4,90166666666667;1,49;6,01;4,08;7,41;7,44;2,98
Aurilândia;2018;4,62833333333333;1,08;6,36;4,17;7,42;6,09;2,65
Avelinópolis;2012;5,095;1,1;6,43;3,22;9,28;8,47;2,07
Avelinópolis;2014;5,265;1,63;7,18;3,78;8,76;8,02;2,22
Avelinópolis;2016;5,275;1,39;6,02;3,57;9,18;8,98;2,51
Avelinópolis;2018;4,64666666666667;0,95;5,53;3,92;8,7;6,92;1,86
Baliza;2012;3,85333333333333;1,22;3,61;0,47;5,86;9,87;2,09
Baliza;2014;3,54833333333333;1,74;1,72;0,48;5,59;9,80;1,96
Baliza;2016;3,48166666666667;2,01;1,73;0,47;5,37;8,65;2,66
Baliza;2018;3,65166666666667;1,32;3,64;0,54;5,55;8,49;2,37
Barro Alto;2012;5,08166666666667;2,02;5,78;2,63;7,18;8,93;3,95
Barro Alto;2014;5,37833333333333;3,84;5,53;2,71;7,92;8,19;4,08
Barro Alto;2016;5,115;3,65;5,26;2,55;7,76;6,74;4,73
Barro Alto;2018;5,18833333333333;3,13;5,57;2,51;7,84;7,13;4,95
Bela Vista de Goiás;2012;4,645;1,53;5,51;3,64;8,09;6,86;2,24
Bela Vista de Goiás;2014;4,80333333333333;2,19;4,98;3,97;8,26;6,78;2,64
Bela Vista de Goiás;2016;4,88833333333333;2,52;5,61;4,37;7,46;5,96;3,41
Bela Vista de Goiás;2018;4,985;1,72;5,77;4,79;7,93;6,15;3,55
Bom Jardim de Goiás;2012;4,825;1,55;5,09;2,7;8,32;9,22;2,07
Bom Jardim de Goiás;2014;4,85666666666667;1,6;5,46;2,88;7,65;9,68;1,87
Bom Jardim de Goiás;2016;5,05666666666667;1,64;5,38;2,94;8,41;8,83;3,14
Bom Jardim de Goiás;2018;4,76833333333333;1,23;6,15;3,11;7,67;7,34;3,11
Bom Jesus de Goiás;2012;4,90833333333333;1,43;5,59;4,21;7,63;8,40;2,19
Bom Jesus de Goiás;2014;5,11833333333333;2,32;5,39;5,23;6,66;8,28;2,83
Bom Jesus de Goiás;2016;5,00833333333333;2,45;5,71;5,16;6,84;7,13;2,76
Bom Jesus de Goiás;2018;5,13333333333333;1,99;6,15;5,42;7,32;7,40;2,52
Bonfinópolis;2012;4,57666666666667;0,92;5,6;3,37;7,81;7,62;2,14
Bonfinópolis;2014;4,77;1,37;5,49;3,56;8,22;8,12;1,86
Bonfinópolis;2016;4,68166666666667;1,39;5,32;3,56;7,18;7,92;2,72
Bonfinópolis;2018;4,565;1,01;4,97;3,79;7,34;7,55;2,73
Bonópolis;2012;4,02;1,12;4,85;1,19;5,64;9,16;2,16
Bonópolis;2014;4,065;1,9;4,02;1,11;6,99;7,81;2,56
Bonópolis;2016;4,64333333333333;1,9;4,74;0,99;7,59;9,82;2,82
Bonópolis;2018;4,54166666666667;1,51;5,14;0,98;7,83;9,12;2,67
Brazabrantes;2012;5,16833333333333;1,79;5,88;3,74;8,27;8,76;2,57
Brazabrantes;2014;4,515;1,42;3,89;4,04;7,9;7,59;2,25
Brazabrantes;2016;4,86166666666667;1,81;5,04;4,21;7,35;7,93;2,83
Brazabrantes;2018;5,065;1,53;5,86;4,42;8,08;7,11;3,39
Britânia;2012;4,97;1,44;4,98;4,09;8,57;8,77;1,97
Britânia;2014;5,265;1,6;5,92;5,39;8,3;8,11;2,27
Britânia;2016;5,14833333333333;1,25;5,25;5,47;8,2;8,07;2,65
Britânia;2018;5,00166666666667;1,03;5,08;5,5;8,5;7,52;2,38
Buriti Alegre;2012;5,10333333333333;1,16;4,53;5,1;8,05;9,36;2,42
Buriti Alegre;2014;4,97333333333333;1,86;4,26;5,43;6,3;9,36;2,63
Buriti Alegre;2016;4,97833333333333;1,89;5,74;5,37;7,37;6,30;3,2
Buriti Alegre;2018;5,23;1,79;5,79;5,65;8,4;6,72;3,03
Buriti de Goiás;2012;5,14666666666667;1,11;5,74;3,93;8,9;8,98;2,22
Buriti de Goiás;2014;5,29666666666667;1,55;6,19;4;8,98;9,12;1,94
Buriti de Goiás;2016;5,41666666666667;1,43;7,29;4,06;8,76;8,70;2,26
Buriti de Goiás;2018;5,43166666666667;1,06;6,73;3,97;9,23;8,62;2,98
Buritinópolis;2012;4,23;1,01;5,1;1,94;5,34;9,19;2,8
Buritinópolis;2014;4,40333333333333;1,46;5,76;2;6,13;9,15;1,92
Buritinópolis;2016;4,18333333333333;1,23;4,71;1,66;6,32;8,30;2,88
Buritinópolis;2018;4,67166666666667;2,38;5,22;1,89;7,97;7,04;3,53
Cabeceiras;2012;4,515;1,1;4,98;2,44;7,99;8,27;2,31
Cabeceiras;2014;4,55;1,89;4,65;2,46;7,3;8,87;2,13
Cabeceiras;2016;4,77333333333333;1,97;4,76;2,33;8,23;8,43;2,92
Cabeceiras;2018;4,60833333333333;1,81;4,71;2,8;7,67;7,78;2,88
Cachoeira Alta;2012;4,39166666666667;1,44;4,82;2,57;6,18;8,98;2,36
Cachoeira Alta;2014;4,69166666666667;1,72;3,83;2,56;7,29;9,36;3,39
Cachoeira Alta;2016;4,79;2,05;5,33;2,61;8,01;7,61;3,13
Cachoeira Alta;2018;4,78333333333333;1,27;5,88;2,7;9,07;6,55;3,23
Cachoeira de Goiás;2012;4,625;1,85;5,87;3,12;4,97;9,79;2,15
Cachoeira de Goiás;2014;5,31166666666667;1,74;7;3,28;7,34;9,11;3,4
Cachoeira de Goiás;2016;4,87833333333333;1,32;6,42;3,22;6,96;8,45;2,9
Cachoeira de Goiás;2018;4,57;1,14;6,21;3,15;7,04;7,09;2,79
Cachoeira Dourada;2012;5,43333333333333;1,51;7;4,59;7,98;9,19;2,33
Cachoeira Dourada;2014;5,725;2,45;5,91;4,94;8,67;9,10;3,28
Cachoeira Dourada;2016;5,71333333333333;2,89;5,93;4,96;8,75;7,34;4,41
Cachoeira Dourada;2018;5,50666666666667;3,2;5,71;4,98;7,63;6,94;4,58
Caçu;2012;5,61;1,86;5,88;4,81;7,58;9,97;3,56
Caçu;2014;5,36166666666667;2,12;4,67;5;7,11;9,93;3,34
Caçu;2016;5,465;2,22;5,15;4,99;8,41;8,52;3,5
Caçu;2018;5,44;2,41;5,74;4,86;8,32;7,69;3,62
Caiapônia;2012;4,82;1,98;5,78;4,2;7,55;7,25;2,16
Caiapônia;2014;4,59333333333333;1,99;4,21;4,1;6,21;8,31;2,74
Caiapônia;2016;4,61666666666667;2,43;4,61;4,37;6,16;7,13;3
Caiapônia;2018;4,97333333333333;1,87;5,3;4,26;8,11;7,18;3,12
Caldas Novas;2012;4,71166666666667;1,86;5,15;6,02;7,74;4,92;2,58
Caldas Novas;2014;4,655;2,53;5,41;5,87;6,16;5,15;2,81
Caldas Novas;2016;4,71666666666667;2,29;5,42;5,65;6,11;5,28;3,55
Caldas Novas;2018;4,99;1,99;6;5,63;6,31;6,38;3,63
Caldazinha;2012;4,04166666666667;1,11;4,33;1,96;7,74;7,34;1,77
Caldazinha;2014;4,31833333333333;1,48;5,38;2,44;7,64;6,94;2,03
Caldazinha;2016;4,75666666666667;1,4;6,23;2,48;8,12;8,13;2,18
Caldazinha;2018;4,61166666666667;0,98;5,58;2,53;7,64;8,28;2,66
