Localidade;Ano;IDM Saude;Cobertura ESF;Cobertura Vacinal tetravalente;Cobertura ESF Saude Bucal;Leitos SUS por 1000 hab;Medicos SUS por 1000 hab;Mortalidade Infantil;Morte por causas externas;Prenatal com 7 consultas
Abadia de Goiás;2012;7,655;10;10;10;0;10;8,48;6,59;6,17
Abadia de Goiás;2014;7,06;9,71;10;8,91;0;9,3;8,44;5,38;4,74
Abadia de Goiás;2016;7,2225;9,56;10;9,63;0;8,87;9,52;5,6;4,6
Abadia de Goiás;2018;7,73875;10;10;10;0;10;9,22;7,27;5,42
Abadiânia;2012;6,25375;10;8,6;10;0;3,7;6,45;7,58;3,7
Abadiânia;2014;6,825;9,87;10;10;0;7,5;8,72;4,65;3,86
Abadiânia;2016;5,8275;9,84;2,9;10;0;4,43;8,73;5,95;4,77
Abadiânia;2018;6,6;10;4,63;10;0;10;9,01;4,38;4,78
Acreúna;2012;7,37125;8,52;9,64;5,22;10;3,9;8,73;7,95;5,01
Acreúna;2014;6,9375;9,72;10;6,59;5,93;4,7;8,47;6,36;3,73
Acreúna;2016;7,47125;10;10;6,71;5,83;7,36;8,55;7,39;3,93
Acreúna;2018;6,84625;9,29;8,24;5,82;5,67;6;9,26;6,63;3,86
Adelândia;2012;5,7725;10;0;10;0;4;10;6,62;5,56
Adelândia;2014;7,6775;10;10;10;0;3,9;10;10;7,52
Adelândia;2016;6,62375;10;9,46;10;0;0;10;5,85;7,68
Adelândia;2018;7,4875;10;10;10;0;4;10;8,96;6,94
Água Fria de Goiás;2012;5,4675;7,11;10;3,08;0;5,8;10;3,33;4,42
Água Fria de Goiás;2014;6,71375;10;10;10;0;3,7;7,94;7,39;4,68
Água Fria de Goiás;2016;6,4;9,67;10;10;0;3,63;10;5,56;2,34
Água Fria de Goiás;2018;8,47375;10;10;10;7;9;10;5;6,79
Água Limpa;2012;7,86875;10;7,03;10;0;10;10;8,13;7,79
Água Limpa;2014;8,2625;10;10;10;0;9,9;10;10;6,2
Água Limpa;2016;6,9475;10;10;10;0;10;10;0;5,58
Água Limpa;2018;7,925;10;10;10;0;10;7,62;7,62;8,16
