Localidade;Ano;IDM Segurança;Crimes contra a dignidade sexual;Crimes contra a pessoa;Crimes contra o patrimonio;Contravenções penais;Tráfico de drogas
Abadia de Goiás;2012;6,336;0,16;7,22;7,41;8,45;8,44
Abadia de Goiás;2014;7,528;7,56;7,31;5,98;9,54;7,25
Abadia de Goiás;2016;5,92;7,67;4,99;1,67;8,6;6,67
Abadia de Goiás;2018;5,376;4,01;4,69;2,65;7,35;8,18
Abadiânia;2012;6,342;1,81;6,58;5,28;8,38;9,66
Abadiânia;2014;7,842;7,87;7;5,91;9,23;9,2
Abadiânia;2016;7,616;7,45;7,26;6,12;8,7;8,55
Abadiânia;2018;7,104;6,6;7,14;6,33;8,16;7,29
Acreúna;2012;6,972;6,67;5,31;6,43;8,04;8,41
Acreúna;2014;6,782;7,88;4,93;5,17;8,8;7,13
Acreúna;2016;7,934;7,47;6,58;6,86;9,24;9,52
Acreúna;2018;5,704;6,67;5,86;5,76;6,44;3,79
Adelândia;2012;9,212;10;8,94;8,15;8,97;10
Adelândia;2014;9,444;10;9,07;8,59;9,56;10
Adelândia;2016;9,46;10;8,75;8,55;10;10
Adelândia;2018;8,216;6,19;7,74;8,68;8,47;10
Água Fria de Goiás;2012;8,374;5,17;8,87;9,38;9,5;8,95
Água Fria de Goiás;2014;8,958;6,63;8,66;9,5;10;10
Água Fria de Goiás;2016;7,62;0;9,1;9;10;10
Água Fria de Goiás;2018;8,776;8,26;8,19;9,01;8,42;10
Água Limpa;2012;9,834;10;9,87;9,3;10;10
Água Limpa;2014;9,194;10;10;9,27;10;6,7
Água Limpa;2016;7,03;5,42;6,63;9,03;9,31;4,76
Água Limpa;2018;8,39;7,52;8,16;8,28;9,5;8,49
Águas Lindas de Goiás;2012;6,972;6,64;7,49;5,37;8,25;7,11
Águas Lindas de Goiás;2014;6,572;4,52;6,5;4,53;9,7;7,61
Águas Lindas de Goiás;2016;6,356;4,83;6,38;4,68;8,9;6,99
Águas Lindas de Goiás;2018;6,982;7,16;6,57;4,3;8,81;8,07
Alexânia;2012;4,814;3,03;4,03;4,94;7,48;4,59
Alexânia;2014;7,036;7,85;6,46;4,84;9,8;6,23
Alexânia;2016;6,068;6,13;3,51;5,52;7,99;7,19
Alexânia;2018;6,804;5,6;7,39;4,88;8,49;7,66
Aloândia;2012;8,35;10;6,56;8,8;9,01;7,38
Aloândia;2014;8,9;10;5,85;9,72;8,93;10
Aloândia;2016;9,004;10;8,81;9,38;9,34;7,49
Aloândia;2018;8,268;10;6,38;7,82;8,58;8,56
Alto Horizonte;2012;7,836;10;8,49;7,71;7,74;5,24
Alto Horizonte;2014;8,394;10;7,11;6,91;9,32;8,63
Alto Horizonte;2016;8,736;10;7,32;8,34;8,98;9,04
Alto Horizonte;2018;7,662;9,15;6,96;7,36;7,43;7,41
Alto Paraíso de Goiás;2012;5,018;4,64;4,45;0,3;7,26;8,44
Alto Paraíso de Goiás;2014;5,46;6,25;4,5;0,77;8,59;7,19
Alto Paraíso de Goiás;2016;3,358;5,03;0;2,36;7,2;2,2
Alto Paraíso de Goiás;2018;2,144;3,48;0;0;3,98;3,26
Alvorada do Norte;2012;8,198;9,24;5,92;7,53;8,3;10
Alvorada do Norte;2014;6,992;5,72;5,19;6,33;9,33;8,39
Alvorada do Norte;2016;5,926;8,93;2,98;6,74;7,1;3,88
Alvorada do Norte;2018;6,516;7,74;4,96;6,84;5,8;7,24
Amaralina;2012;9,478;10;8,86;9,42;9,11;10
Amaralina;2014;9,65;10;9,56;9;9,69;10
Amaralina;2016;8,194;5,03;8,07;8,99;8,88;10
Amaralina;2018;9,288;10;8,32;9,17;8,95;10
Americano do Brasil;2012;8,838;7,77;8,34;8,91;9,17;10
Americano do Brasil;2014;8,64;6,88;8,21;8,6;9,51;10
Americano do Brasil;2016;7,612;3,8;8,44;9,18;9,3;7,34
Americano do Brasil;2018;8,712;8,37;8,59;8,56;8,04;10
Amorinópolis;2012;9,67;10;9,71;9,77;8,87;10
Amorinópolis;2014;9,862;10;9,56;9,75;10;10
Amorinópolis;2016;9,29;10;8,78;8,85;8,82;10
Amorinópolis;2018;8,158;10;7,17;8,22;6,27;9,13
Anápolis;2012;5,832;6,51;5,19;3,57;6,82;7,07
Anápolis;2014;6,112;5,94;5,33;4,26;8,69;6,34
Anápolis;2016;6,36;6,79;5,77;4,73;7,77;6,74
Anápolis;2018;6,31;7,49;7,02;4,88;3,86;8,3
Anhanguera;2012;6,006;10;0;8,51;1,52;10
Anhanguera;2014;5,552;10;0;7,76;0;10
Anhanguera;2016;6,332;10;3,56;8,1;0;10
Anhanguera;2018;7,652;5,65;8,49;7,61;6,51;10
Anicuns;2012;8,352;7,57;8,46;7,46;8,54;9,73
Anicuns;2014;8,2;6,58;8,19;6,66;9,57;10
Anicuns;2016;9,028;9,57;8,99;8,3;9,74;8,54
Anicuns;2018;8,45;8,42;8,35;8,02;8,28;9,18
Aparecida de Goiânia;2012;6,29;6,6;7,04;2,66;6,88;8,27
