Localidade;Ano;IDM Trabalho;Empregos formais;Nível de escolaridade dos trabalhadores;Remuneração mediana;Variação do numero de empregos formais
Abadia de Goiás;2012;2,2275;1,17;3,23;1,81;2,7
Abadia de Goiás;2014;3,96;2,9;0,64;2,64;9,66
Abadia de Goiás;2016;3,865;3,33;8,05;1,98;2,1
Abadia de Goiás;2018;3,9125;3,08;7,66;1,7;3,21
Abadiânia;2012;2,1775;1,09;3,37;0,97;3,28
Abadiânia;2014;2,055;1,09;0,63;1,49;5,01
Abadiânia;2016;3,5825;1,55;8,48;1,42;2,88
Abadiânia;2018;3,935;1,59;9,21;1,53;3,41
Acreúna;2012;2,47;1,53;1,76;3,24;3,35
Acreúna;2014;2,7525;1,7;0,49;3,57;5,25
Acreúna;2016;3,295;2,08;6,07;2,8;2,23
Acreúna;2018;3,1875;1,87;5,14;2,66;3,08
Adelândia;2012;1,83;1,06;2,25;0,39;3,62
Adelândia;2014;1,8175;1,13;0,49;0,7;4,95
Adelândia;2016;2,21;1,18;5,36;0,51;1,79
Adelândia;2018;2,86;1,87;3,73;1,48;4,36
Água Fria de Goiás;2012;1,84;1,3;1,8;1,73;2,53
Água Fria de Goiás;2014;2,445;1,52;0,42;2,34;5,5
Água Fria de Goiás;2016;3,1;2,11;5,9;1,71;2,68
Água Fria de Goiás;2018;3,4675;2,2;5,88;2,35;3,44
Água Limpa;2012;1,8575;1,59;1,72;1,75;2,37
Água Limpa;2014;2,4425;1,97;0,34;1,88;5,58
Água Limpa;2016;2,45;2,51;3,79;1,26;2,24
Água Limpa;2018;2,27;2,93;1,92;0,55;3,68
Águas Lindas de Goiás;2012;1,8975;0,35;2,71;1,9;2,63
Águas Lindas de Goiás;2014;2,155;0,39;0,66;2,07;5,5
Águas Lindas de Goiás;2016;3,3675;0,6;8,32;1,42;3,13
Águas Lindas de Goiás;2018;3,285;0,64;8,07;1,02;3,41
Alexânia;2012;2,455;1,27;3,39;1,94;3,22
Alexânia;2014;2,8925;1,87;0,62;2,37;6,71
Alexânia;2016;3,63;2,32;8,12;1,81;2,27
Alexânia;2018;4,0475;2,75;8,16;1,48;3,8
Aloândia;2012;1,9625;0,8;2,59;1,36;3,1
Aloândia;2014;2,2375;1,02;0,41;1,67;5,85
Aloândia;2016;2,83;1,45;5,67;1,71;2,49
Aloândia;2018;2,5725;1,49;4,15;1,32;3,33
Alto Horizonte;2012;5;4,18;3,37;8,57;3,88
Alto Horizonte;2014;5,0875;4,58;0,6;9,66;5,51
Alto Horizonte;2016;5,2625;5,58;7,76;5,42;2,29
Alto Horizonte;2018;4,5425;4,54;7,77;2,91;2,95
Alto Paraíso de Goiás;2012;2,195;1,55;2,84;1,46;2,93
Alto Paraíso de Goiás;2014;2,2375;1,67;0,56;1,58;5,14
Alto Paraíso de Goiás;2016;3,2925;2,24;7,15;1,23;2,55
Alto Paraíso de Goiás;2018;3,5825;2,45;7,01;1,32;3,55
Alvorada do Norte;2012;2,0275;1,04;3,54;0,75;2,78
Alvorada do Norte;2014;2,0525;1,15;0,65;1,17;5,24
Alvorada do Norte;2016;3,1725;1,39;8,46;0,63;2,21
Alvorada do Norte;2018;3,455;1,49;7,62;1,27;3,44
Amaralina;2012;1,6675;0,64;2,24;1,62;2,17
Amaralina;2014;2,065;0,72;0,4;1,89;5,25
Amaralina;2016;2,56;0,75;5,94;1,61;1,94
Amaralina;2018;2,6875;0,86;4,66;1,74;3,49
Americano do Brasil;2012;2,9475;1,6;2,66;4,01;3,52
Americano do Brasil;2014;1,255;0,71;0,63;1,4;2,28
Americano do Brasil;2016;2,835;0,94;7,38;0,47;2,55
Americano do Brasil;2018;2,6625;0,87;6,26;0,46;3,06
Amorinópolis;2012;2,1175;0,99;2,08;2,31;3,09
Amorinópolis;2014;2,375;1,1;0,4;2,99;5,01
Amorinópolis;2016;1,935;0,93;4,81;0,83;1,17
Amorinópolis;2018;2,8125;1,2;4,59;1,8;3,66
Anápolis;2012;2,97;2,75;3,28;2,64;3,21
Anápolis;2014;3,0575;3,03;0,61;3,28;5,31
Anápolis;2016;4,1825;3,77;8,28;2,43;2,25
Anápolis;2018;4,3775;3,54;8,16;2,6;3,21
Anhanguera;2012;2,3825;1,76;2,88;2,69;2,2
Anhanguera;2014;2,44;1,75;0,54;2,7;4,77
Anhanguera;2016;3,295;2,06;6,57;2,49;2,06
Anhanguera;2018;3,4175;2,03;5,52;2,79;3,33
Anicuns;2012;2,4525;1,85;1,82;2,7;3,44
Anicuns;2014;2,45;1,83;0,37;2,82;4,78
Anicuns;2016;2,6275;2,02;5,04;1,61;1,84
Anicuns;2018;2,46;1,82;3,62;1,34;3,06
Aparecida de Goiânia;2012;2,6675;2,57;2,52;2,15;3,43
Aparecida de Goiânia;2014;2,7625;2,65;0,5;2,82;5,08
Aparecida de Goiânia;2016;3,365;2,87;6,71;1,99;1,89
Aparecida de Goiânia;2018;3,68;2,77;6,52;2,12;3,31
Aparecida do Rio Doce;2012;4,105;3,73;2,45;3,19;7,05
Aparecida do Rio Doce;2014;2,625;2,9;0,41;3,45;3,74
Aparecida do Rio Doce;2016;3,2175;3,76;4,81;1,95;2,35
Aparecida do Rio Doce;2018;3,3375;4,24;4,16;1,34;3,61
Aporé;2012;2,6;3,06;1,21;3,38;2,75
Aporé;2014;3,3375;3,29;0,27;4,68;5,11
Aporé;2016;2,595;3,19;2,62;3,15;1,42
Aporé;2018;2,7675;3,71;0,04;3,6;3,72
Araçu;2012;1,0275;0,28;2,11;0,89;0,83
Araçu;2014;3,05;1,12;0,29;0,79;10
Araçu;2016;2,1425;1,23;4,62;0,85;1,87
Araçu;2018;2,78;1,57;5,02;0,76;3,77
Aragarças;2012;2,3175;0,61;3,18;1,8;3,68
Aragarças;2014;1,6275;0,4;0,63;1,76;3,72
Aragarças;2016;3,175;0,6;7,84;1,42;2,84
Aragarças;2018;3,3575;0,69;7,56;1,74;3,44
Aragoiânia;2012;2,0875;1,04;2,32;1,57;3,42
Aragoiânia;2014;2,3275;1,2;0,45;2,18;5,48
Aragoiânia;2016;2,93;1,36;6,54;1,78;2,04
Aragoiânia;2018;2,655;1,16;5,22;1,24;3
Araguapaz;2012;1,9075;0,69;2,26;1,85;2,83
Araguapaz;2014;2,3975;0,92;0,5;2,34;5,83
Araguapaz;2016;2,92;1,16;6,64;1,57;2,31
Araguapaz;2018;2,8275;1,26;4,87;1,74;3,44
Arenópolis;2012;2,3175;1,28;2,86;1,74;3,39
Arenópolis;2014;3,3125;2,38;0,43;3,1;7,34
Arenópolis;2016;2,755;2,38;5,23;2,06;1,35
Arenópolis;2018;3,1675;2,65;4,48;2,12;3,42
Aruanã;2012;2,13;1,44;1,87;2,19;3,02
Aruanã;2014;2,4775;1,31;0,38;3,56;4,66
Aruanã;2016;2,5525;1,34;5,18;1,86;1,83
Aruanã;2018;2,78;1,51;3,37;2,61;3,63
Aurilândia;2012;2,4475;0,94;2,83;0,96;5,06
Aurilândia;2014;2,0875;1,03;0,53;1,86;4,93
Aurilândia;2016;2,9825;1,17;7,63;1,34;1,79
Aurilândia;2018;2,65;1,36;4,1;1,7;3,44
Avelinópolis;2012;2,0725;1,82;1,53;1,36;3,58
Avelinópolis;2014;2,2175;1,87;0,31;1,87;4,82
Avelinópolis;2016;2,505;2,48;4,35;0,82;2,37
Avelinópolis;2018;1,8575;2,03;2,2;0,39;2,81
Baliza;2012;2,0875;0,5;2,5;2,78;2,57
Baliza;2014;1,9575;0,4;0,5;2,34;4,59
Baliza;2016;2,6625;0,5;5,61;1,87;2,67
Baliza;2018;2,375;0,44;3,89;2,09;3,08
Barro Alto;2012;3,9475;3,07;3,36;5,82;3,54
Barro Alto;2014;4,0775;3,55;0,66;6,43;5,67
Barro Alto;2016;4,7275;3,98;8,22;4,72;1,99
Barro Alto;2018;4,9475;4,18;8,37;3,65;3,59
Bela Vista de Goiás;2012;2,235;1,68;1,99;1,94;3,33
Bela Vista de Goiás;2014;2,64;1,95;0,46;2,6;5,55
Bela Vista de Goiás;2016;3,41;2,58;6,53;1,99;2,54
Bela Vista de Goiás;2018;3,5475;2,69;5,92;2,13;3,45
Bom Jardim de Goiás;2012;2,065;0,73;2,93;1,57;3,03
Bom Jardim de Goiás;2014;1,865;0,56;0,54;2,29;4,07
Bom Jardim de Goiás;2016;3,145;0,91;7,07;1,57;3,03
Bom Jardim de Goiás;2018;3,1075;0,9;6,61;1,74;3,18
Bom Jesus de Goiás;2012;2,19;1,35;1,55;2,97;2,89
Bom Jesus de Goiás;2014;2,83;1,55;0,35;3,98;5,44
Bom Jesus de Goiás;2016;2,755;1,89;4,49;2,36;2,28
Bom Jesus de Goiás;2018;2,5225;1,72;3,05;2,2;3,12
Bonfinópolis;2012;2,14;1,09;1,39;1,94;4,14
Bonfinópolis;2014;1,8625;0,81;0,42;2,27;3,95
Bonfinópolis;2016;2,72;0,74;6,27;2,16;1,71
Bonfinópolis;2018;2,7325;0,87;5,22;1,24;3,6
Bonópolis;2012;2,16;1,32;1,93;2,4;2,99
Bonópolis;2014;2,5575;1,37;0,34;3,43;5,09
Bonópolis;2016;2,8225;1,83;4,35;2,43;2,68
Bonópolis;2018;2,6675;1,81;2,52;2,95;3,39
Brazabrantes;2012;2,5725;1,84;3,1;1,81;3,54
Brazabrantes;2014;2,245;1,79;0,52;1,92;4,75
Brazabrantes;2016;2,8325;2,2;5,74;1,1;2,29
Brazabrantes;2018;3,3925;1,81;7,18;1,68;2,9
Britânia;2012;1,97;1,31;1,37;2,19;3,01
Britânia;2014;2,2675;1,25;0,29;2,91;4,62
Britânia;2016;2,6525;1,73;4,23;2,06;2,59
Britânia;2018;2,38;1,95;1,86;2,12;3,59
Buriti Alegre;2012;2,415;2,43;1,9;2,51;2,82
Buriti Alegre;2014;2,635;2,6;0,38;2,54;5,02
Buriti Alegre;2016;3,2;3,3;4,88;2,33;2,29
Buriti Alegre;2018;3,03;3,4;3,21;2,12;3,39
Buriti de Goiás;2012;2,22;1,86;1,52;0,52;4,98
Buriti de Goiás;2014;1,9425;1,87;0,49;0,69;4,72
Buriti de Goiás;2016;2,2625;1,94;4,8;0,65;1,66
Buriti de Goiás;2018;2,98;2,34;5,94;0,05;3,59
Buritinópolis;2012;2,805;0,67;3,04;0;7,51
Buritinópolis;2014;1,9175;0,93;0,63;0;6,11
