Localidade;Ano;Cursos Presenciais Federal;na Educação de Jovens a Adultos Estadual;Educação de Jovens a Adultos Federal;Cursos Presenciais Estadual;Educação de Jovens a Adultos Municipal;Cursos Presenciais Municipal;Cursos Presenciais Particular;Educação de Jovens a Adultos Particular;Cursos Presenciais Comunitária/Confessional/Filantrópica;Educação profissional Estadual;Educação profissional Federal;Educação profissional Municipal;Educação profissional Particular;Ensino Médio Estadual;Ensino Médio Federal;Ensino Médio Municipal;Ensino Médio Particular
Abadia de Goiás;2002;;;;;;;;;;;;;;246;;;
Abadia de Goiás;2003;;;;;;;;;;;;;;259;;;
Abadia de Goiás;2004;;;;;;;;;;;;;;291;;;
Abadia de Goiás;2005;;;;;;;;;;;;;;263;;;
Abadia de Goiás;2006;;;;;;;;;;;;;;304;;;
Abadia de Goiás;2007;;;;;;;;;;;;;;371;;;
Abadia de Goiás;2008;;;;;48;;;;;;;;;274;;;
Abadia de Goiás;2009;;;;;107;;;;;;;;;299;;;
Abadia de Goiás;2010;; ; ;;117;;; ;; ; ; ; ;326; ; ; 
Abadia de Goiás;2011;;;;;154;;;;;;;;;315;;;
Abadia de Goiás;2012;;;;;;;;;;;;;;312;;;
Abadia de Goiás;2013;;;;;;;;;;;;;;323;;;
Abadia de Goiás;2014;;;;;;;;;;;;;;332;;;
Abadia de Goiás;2015;;;;;;;;;;;;;;365;;;
Abadia de Goiás;2016;;;;;;;;;;;;;;425;;;
Abadia de Goiás;2017;;20;;;;;;;;;;;;466;;;
Abadia de Goiás;2018;;158;0;;0;;;0;;0;0;0;0;528;0;0;0
Abadiânia;2002;;;;;50;;;;;;;;;373;;;266
Abadiânia;2003;;;;;58;;;;;;;;;383;;;211
Abadiânia;2004;;;;;119;;;;;;;;;407;;;171
Abadiânia;2005;;;;;109;;;;;;;;;413;;;193
Abadiânia;2006;;;;;126;;;;;;;;;448;;;176
Abadiânia;2007;;;;;70;;;;;;;;;529;;;126
Abadiânia;2008;;;;;105;;;;;;;;;490;;;148
Abadiânia;2009;;;;;245;;;;;;;;;453;;;126
Abadiânia;2010;;59; ;;199;;; ;; ; ; ; ;470; ; ;185
Abadiânia;2011;;50;;;177;;;;;;;;;439;;;254
Abadiânia;2012;;36;;;188;;;;;;;;;424;;;289
Abadiânia;2013;;81;;;65;;;;;;;;;483;;;277
Abadiânia;2014;;148;;;49;;;;;;;;;537;;;322
Abadiânia;2015;;120;;;31;;;;;;;;;506;;;346
Abadiânia;2016;;119;;;;;;;;;;;;506;;;341
Abadiânia;2017;;192;;;;;;;;;;;;418;;;360
Abadiânia;2018;;137;0;;0;;;0;;0;0;0;0;422;0;0;338
Acreúna;2002;;308;;;;;;287;;;;;;718;;;100
Acreúna;2003;;407;;;25;;;117;;;;;;732;;;88
Acreúna;2004;;569;;;77;;;88;;;;;;758;;;79
Acreúna;2005;;428;;;34;;;49;;;;;;900;;;67
Acreúna;2006;;391;;;;;;19;;;;;;927;;;64
Acreúna;2007;;335;;;;;;;;;;;;607;;;63
Acreúna;2008;;236;;;;;;;;;;;;631;;;56
Acreúna;2009;;234;;;;;;;;;;;;729;;;79
Acreúna;2010;;367; ;;142;;; ;; ; ; ; ;798; ; ;76
Acreúna;2011;;323;;;108;;;;;;;;;731;;;93
Acreúna;2012;;219;;;;;;;;;;;;721;;;92
Acreúna;2013;;181;;;42;;;;;;;;;633;;;101
Acreúna;2014;;154;;;;;;;;;;;;600;;;84
Acreúna;2015;;155;;;;;;;;;;;;650;;;87
Acreúna;2016;;255;;;;;;;;;;;;667;;;90
Acreúna;2017;;255;;;100;;;;;;;;;629;;;63
Acreúna;2018;;313;0;;63;;;0;;0;0;0;0;676;0;0;64
Adelândia;2002;;;;;;;;;;;;;;156;;;
Adelândia;2003;;;;;;;;;;;;;;135;;;
Adelândia;2004;;;;;;;;;;;;;;143;;;
Adelândia;2005;;;;;;;;;;;;;;154;;;
Adelândia;2006;;;;;;;;;;;;;;157;;;
Adelândia;2007;;21;;;;;;;;;;;;177;;;
Adelândia;2008;;16;;;;;;;;;;;;139;;;
Adelândia;2009;;57;;;;;;;;;;;;150;;;
Adelândia;2010;;37; ;; ;;; ;; ; ; ; ;130; ; ; 
Adelândia;2011;;17;;;;;;;;;;;;124;;;
Adelândia;2012;;23;;;;;;;;;;;;84;;;
Adelândia;2013;;16;;;;;;;;;;;;91;;;
Adelândia;2014;;25;;;25;;;;;;;;;89;;;
Adelândia;2015;;16;;;;;;;;;;;;89;;;
