#Bancos de dados sobre as regiões e microrregiões de Goiás segundo o IBGE
MesorregiaoIBGE;MicrorregiaoIBGE
Noroeste Goiano;São Miguel do Araguaia
Noroeste Goiano;Rio Vermelho
Noroeste Goiano;Aragarças
Norte Goiano;Porangatu
Norte Goiano;Chapada dos Veadeiros
Centro Goiano;Ceres
Centro Goiano;Anápolis
Centro Goiano;Iporá
Centro Goiano;Anicuns
Centro Goiano;Goiânia
Leste Goiano;Vão do Paranã
Leste Goiano;Entorno de Brasília
Sul Goiano;Sudoeste de Goiás
Sul Goiano;Vale do Rio dos Bois
Sul Goiano;Meia Ponte
Sul Goiano;Pires do Rio
Sul Goiano;Catalão
Sul Goiano;Quirinópolis
