Localidade;Ano;Rendimento Médio;Indústria de Transformação;Indústria de Extração de Minerais;Serviços Industriais de Utilidade Pública;Construção Civil;Comércio;Serviços;Administração Pública Direta e Indireta;Agricultura, Silvicultura, Criação de Animais, Extração Vegetal e Pesca;Atividade não especificada ou classificada
Abadia de Goiás;2000;355,04;;;;;;;;;
Abadia de Goiás;2001;358,93;;;;;;;;;
Abadia de Goiás;2002;416,35;;;;;;;;;
Abadia de Goiás;2003;499,28;;;;;;;;;
Abadia de Goiás;2004;537,84;;;;;;;;;
Abadia de Goiás;2005;613,06;;;;;;;;;
Abadia de Goiás;2006;607,67;;;;;;;;;
Abadia de Goiás;2007;661,98;;;;;;;;;
Abadia de Goiás;2008;737,42;;;;;;;;;
Abadia de Goiás;2009;790,72;;;;;;;;;
Abadia de Goiás;2010;936,58;957,41;;;1065,15;852,75;1099,87;819,75;824,63;
Abadia de Goiás;2011;998,76;1058,06;;;1118,7;760,66;1117,07;980,28;964,01;
Abadia de Goiás;2012;1165,8;1358,08;;;1377,84;1180,56;1032,63;951,3;1164,88;
Abadia de Goiás;2013;1456,78;1388,1;;;1467,9;1397,83;1556,64;1547,54;1305,94;
Abadia de Goiás;2014;1737,67;1452,53;800;;1510,74;2263,56;1608,09;1724,65;1298,68;
Abadia de Goiás;2015;1608,19;1509,07;;;1787,17;1387,15;1826,64;1796,17;1451,54;
Abadia de Goiás;2016;1654,5;1605,93;;;1460,05;1530,27;1468,54;1973,23;1637,25;
Abadia de Goiás;2017;1838,61;1573,26;;;4754,64;1564,98;1422,01;2235,83;1654,25;
Abadia de Goiás;2018;1789,07;1599,87;0;1066,78;1963,31;1616,64;1553,41;2257,51;1800,69;
Abadiânia;1999;260,45;;;;;;;;;
Abadiânia;2000;268,82;;;;;;;;;
Abadiânia;2001;314,61;;;;;;;;;
Abadiânia;2002;378,86;;;;;;;;;
Abadiânia;2003;380,5;;;;;;;;;
Abadiânia;2004;436,89;;;;;;;;;
Abadiânia;2005;579,48;;;;;;;;;
Abadiânia;2006;583,15;;;;;;;;;
Abadiânia;2007;593,07;;;;;;;;;
Abadiânia;2008;630,64;;;;;;;;;
Abadiânia;2009;663,59;;;;;;;;;
Abadiânia;2010;768,5;677,85;1040,93;3738,79;;709,85;816,79;794,61;703,4;
Abadiânia;2011;904,72;738,03;1166,6;4142,51;808,76;730,67;933,86;1042,59;785,22;
Abadiânia;2012;970,44;861,19;1272,62;5551,66;787,94;823,88;1055,01;1027,49;884,68;
Abadiânia;2013;1089,16;1055,78;1395,66;2220,15;1177,8;911,84;1229,05;1065,9;971,21;
Abadiânia;2014;1236,69;1230;1484,18;2010,57;1611,93;1020,21;1304,12;1273,56;1069,27;
Abadiânia;2015;1409,64;1267,99;1666,17;2802,65;1286,94;1166,27;1454,29;1613,78;1195,22;
Abadiânia;2016;1527,39;1402,78;1692,15;3012,12;1343,22;1251,39;1566,42;1756,99;1397,3;
Abadiânia;2017;1658,57;1344,49;1847,21;3319,02;1613,07;1339,91;1658,26;1980,82;1515,67;
Abadiânia;2018;1669,24;1594,78;2011,77;2954,42;1407,5;1330,49;1707,52;1795,17;1616,28;
Acreúna;1999;393,08;;;;;;;;;
Acreúna;2000;374,93;;;;;;;;;
Acreúna;2001;471,72;;;;;;;;;
Acreúna;2002;526,22;;;;;;;;;
Acreúna;2003;593,15;;;;;;;;;
Acreúna;2004;652,42;;;;;;;;;
Acreúna;2005;709,31;;;;;;;;;
Acreúna;2006;745,75;;;;;;;;;
Acreúna;2007;847,62;;;;;;;;;
Acreúna;2008;964,39;;;;;;;;;
Acreúna;2009;1020,61;;;;;;;;;
Acreúna;2010;1123,14;1181,87;;4095,32;1373,25;985,08;1027,34;1328,15;1029,22;
Acreúna;2011;1241,73;1346,7;;4613,65;2056,65;1047,9;1167,23;1377,13;1206,08;
Acreúna;2012;1407,47;1504,12;;6317,1;1735,89;1261,03;1369,16;1459,86;1414,51;
Acreúna;2013;1534,52;1470,87;;6541,01;859,25;1463,43;1508,34;1653,02;1510,65;
Acreúna;2014;1618,77;1779,74;;7210,98;1378;1450,4;1542,19;1571,91;1747,64;
Acreúna;2015;1839,22;2404,55;;10277,38;1421,29;1626,89;1695,47;1877,33;1896,19;
Acreúna;2016;1932,41;2441,09;;19187,16;1165,84;1823,3;1663,59;1723,75;2155,64;
Acreúna;2017;2125,7;2583,77;;;1656,42;1825,75;1784,53;2334,52;2231,18;
Acreúna;2018;2274,01;2817,15;0;0;2056,28;2141,66;1850,66;2592,63;2196,85;
Adelândia;1999;226,26;;;;;;;;;
Adelândia;2000;254,52;;;;;;;;;
Adelândia;2001;270,73;;;;;;;;;
Adelândia;2002;313,75;;;;;;;;;
Adelândia;2003;357,34;;;;;;;;;
Adelândia;2004;422,07;;;;;;;;;
Adelândia;2005;423,76;;;;;;;;;
Adelândia;2006;464,79;;;;;;;;;
Adelândia;2007;568,34;;;;;;;;;
Adelândia;2008;637,26;;;;;;;;;
Adelândia;2009;644,99;;;;;;;;;
Adelândia;2010;660,69;556,35;;;;731,1;847,44;991,48;638,63;
Adelândia;2011;810,07;698,91;;;;616,21;967,35;863,68;816,81;
Adelândia;2012;944,57;718,41;;;;1108,44;1413,67;998,6;813,41;
Adelândia;2013;977,66;806,69;;;;797,17;968,61;1205,77;878,58;
Adelândia;2014;979,49;853,5;;;;954,56;872,89;1180,68;948,09;
Adelândia;2015;1118,41;945,17;;;1296,43;1021,16;906,49;1519,46;969,66;
Adelândia;2016;1244,27;969,12;;;1348,17;1156,84;1254,38;1663,07;1222,78;
Adelândia;2017;1373,98;992,53;;;1327,4;1211,25;1128,87;1677,03;1393,96;
Adelândia;2018;1494,93;1071,96;0;0;954;1212,55;1455,9;1614,56;1647,05;
Água Fria de Goiás;1999;229,63;;;;;;;;;
Água Fria de Goiás;2000;248,35;;;;;;;;;
Água Fria de Goiás;2001;270,11;;;;;;;;;
Água Fria de Goiás;2002;323,23;;;;;;;;;
Água Fria de Goiás;2003;387,27;;;;;;;;;
Água Fria de Goiás;2004;425,61;;;;;;;;;
Água Fria de Goiás;2005;530,98;;;;;;;;;
Água Fria de Goiás;2006;566,85;;;;;;;;;
Água Fria de Goiás;2007;608,41;;;;;;;;;
Água Fria de Goiás;2008;720,57;;;;;;;;;
Água Fria de Goiás;2009;783,85;;;;;;;;;
Água Fria de Goiás;2010;890,02;685,23;;;;896,05;1378,81;785,56;893,16;
Água Fria de Goiás;2011;967,54;754,34;;;;934,99;1422,57;847,1;985,01;
Água Fria de Goiás;2012;1095,84;790,67;;;;887,27;1742,4;921,57;1168,08;
