Localidade	Ano	Existentes/Federal	Existentes/Estadual	Existentes/Municipal	Existentes/Particular	Utilizadas/Federal	Utilizadas/Estadual	Utilizadas/Municipal	Utilizadas/Particular
Goiânia	2002	110	1839	1573	3201				
Goiânia	2003	110	1883	1530	3296				
Goiânia	2004	104	1552	1638	3664				
Goiânia	2005	132	1474	1713	3847				
Goiânia	2006	76	1465	1773	3373				
Goiânia	2007	77	1437	1823	3022				
Goiânia	2008	77	2090	1848	3695	77	1623	1841	3201
Goiânia	2009	77	2106	1876	3656	77	1530	1885	3206
Goiânia	2010	77	1955	2063	4209	77	1627	2034	3682
Goiânia	2011	78	2012	2079	4092	78	1568	2079	3632
Goiânia	2012	76	1559	2180	4248	76	1274	2191	3723
Goiânia	2014	74	1299	2311	4594	74	1194	2340	4095
Goiânia	2015	86	1345	2527	5028	86	1233	2460	4428
Goiânia	2016	89	1419	2556	5081	89	1262	2476	4481
Goiânia	2017	97	1399	2562	5012	92	1219	2493	4370
Goiânia	2018	97	1438	2571	5126	92	1277	2494	4449
Goiânia	2013	70	1302	2225	4341	70	1201	2258	3922
Águas Lindas de Goiás	2014	27	177	417	388	2	181	425	347
Águas Lindas de Goiás	2015	27	174	444	388	4	178	432	329
Águas Lindas de Goiás	2016	27	192	477	405	6	183	445	348
Águas Lindas de Goiás	2017	27	209	511	435	9	201	472	366
Águas Lindas de Goiás	2018	27	202	505	532	9	197	467	457
Anápolis	2011	11	509	686	879	10	466	686	805
Anápolis	2012	11	474	779	916	10	458	692	847
Anápolis	2013	18	468	797	972	24	431	708	905
Anápolis	2014	21	485	867	1084	21	436	767	945
Anápolis	2015	22	483	896	1179	22	434	796	993
Anápolis	2016	22	511	926	1164	22	442	784	987
Anápolis	2017	18	516	940	1006	18	466	815	926
Anápolis	2018	18	535	836	1070	18	496	799	956
Aparecida de Goiânia	2012	24	799	697	792	24	619	673	703
Aparecida de Goiânia	2013	24	636	726	835	24	608	703	776
Aparecida de Goiânia	2014	28	640	756	881	28	617	751	816
Aparecida de Goiânia	2015	28	652	786	908	28	628	759	818
Aparecida de Goiânia	2016	28	666	831	911	25	609	782	815
Aparecida de Goiânia	2017	28	674	953	949	27	628	907	822
Aparecida de Goiânia	2018	26	682	954	988	25	626	918	848
Campos Belos	2015	10	33	93	19	10	36	87	18
Campos Belos	2016	4	34	95	19	4	32	86	18
Campos Belos	2017	5	41	93	19	5	31	91	18
Campos Belos	2018	5	41	93	18	5	30	89	17
Catalão	2015	5	190	251	395	2	164	233	358
Catalão	2016	5	192	230	379	4	164	205	332
Catalão	2017	5	184	248	350	5	167	230	333
Catalão	2018	5	185	252	336	5	178	226	307
Ceres	2002	17	100	36	56				
Ceres	2003	17	77	27	80				
Ceres	2004	17	49	26	108				
Ceres	2005	19	49	32	117				
Ceres	2006	19	47	34	128				
Ceres	2007	19	47	37	130				
Ceres	2008	24	59	35	128	21	46	33	118
Ceres	2009	24	59	35	126	21	48	32	116
Ceres	2010	25	59	31	125	25	44	33	115
Ceres	2011	49	59	36	113	49	43	36	105
Ceres	2012	35	55	42	99	31	41	41	92
Ceres	2013	35	52	45	114	31	62	46	105
Ceres	2014	35	52	50	108	33	63	48	90
Ceres	2015	35	52	56	129	33	63	53	112
Ceres	2016	47	62	55	128	41	62	40	107
Ceres	2017	47	70	57	117	41	67	51	98
Ceres	2018	47	45	61	118	41	43	61	98
Cristalina	2015	7	63	236	133	6	42	228	122
Cristalina	2016	7	71	258	129	6	46	252	116
Cristalina	2017	7	74	287	135	6	51	279	118
Cristalina	2018	7	83	289	139	6	65	266	130
Formosa	2011	12	157	329	242	12	139	329	199
Formosa	2012	12	145	328	217	12	135	326	172
Formosa	2013	12	132	335	246	12	132	324	197
Formosa	2014	16	135	366	237	16	132	343	191
Formosa	2015	23	137	378	270	23	137	351	209
Formosa	2016	20	155	387	307	20	137	354	247
Formosa	2017	20	163	380	276	20	140	348	227
Formosa	2018	0	22	12	0	0	19	12	0
