Localidade;Ano;Taxa de Abandono
Abadia de Goiás;2013;6,6
Abadia de Goiás;2014;10,3
Abadia de Goiás;2015;6,6
Abadia de Goiás;2016;10,2
Abadia de Goiás;2017;4,5
Abadia de Goiás;2018;4,9
Abadiânia;2013;4,1
Abadiânia;2014;7,6
Abadiânia;2015;6,3
Abadiânia;2016;5,4
Abadiânia;2017;2,7
Abadiânia;2018;1
Acreúna;2013;7,7
Acreúna;2014;6,3
Acreúna;2015;1,6
Acreúna;2016;1,7
Acreúna;2017;0
Acreúna;2018;1,1
Adelândia;2013;1,1
Adelândia;2014;8
Adelândia;2015;3,4
Adelândia;2016;0
Adelândia;2017;0
Adelândia;2018;0
Água Fria de Goiás;2013;1,1
Água Fria de Goiás;2014;1,1
Água Fria de Goiás;2015;0,6
Água Fria de Goiás;2016;0,6
Água Fria de Goiás;2017;0
Água Fria de Goiás;2018;2,2
Água Limpa;2013;3,4
Água Limpa;2014;5,2
Água Limpa;2015;2,2
Água Limpa;2016;1,4
Água Limpa;2017;0
Água Limpa;2018;8,3
Águas Lindas de Goiás;2013;7,9
Águas Lindas de Goiás;2014;7,8
Águas Lindas de Goiás;2015;5,1
Águas Lindas de Goiás;2016;6,6
Águas Lindas de Goiás;2017;2,1
Águas Lindas de Goiás;2018;1,8
Alexânia;2013;9,2
Alexânia;2014;5,5
Alexânia;2015;8
Alexânia;2016;1,7
Alexânia;2017;3,6
Alexânia;2018;2
Aloândia;2013;5,9
Aloândia;2014;8,6
Aloândia;2015;0
Aloândia;2016;0
Aloândia;2017;0
Aloândia;2018;0
Alto Horizonte;2013;3,2
Alto Horizonte;2014;6,7
Alto Horizonte;2015;1,6
Alto Horizonte;2016;4,5
Alto Horizonte;2017;4,7
Alto Horizonte;2018;5
Alto Paraíso de Goiás;2013;3,2
Alto Paraíso de Goiás;2014;6,1
Alto Paraíso de Goiás;2015;12,8
Alto Paraíso de Goiás;2016;5,8
Alto Paraíso de Goiás;2017;2,7
Alto Paraíso de Goiás;2018;3,4
Alvorada do Norte;2013;3,8
Alvorada do Norte;2014;7,3
Alvorada do Norte;2015;8,9
Alvorada do Norte;2016;7,1
Alvorada do Norte;2017;1,5
Alvorada do Norte;2018;2,3
Amaralina;2013;0
Amaralina;2014;13,4
Amaralina;2015;4,1
Amaralina;2016;6,8
Amaralina;2017;1,5
Amaralina;2018;1,3
Americano do Brasil;2013;0
Americano do Brasil;2014;0
Americano do Brasil;2015;0,5
Americano do Brasil;2016;0,5
Americano do Brasil;2017;0
Americano do Brasil;2018;0,5
Amorinópolis;2013;4,2
Amorinópolis;2014;1,7
Amorinópolis;2015;3,4
Amorinópolis;2016;2
Amorinópolis;2017;11,4
Amorinópolis;2018;6,8
Anápolis;2013;5,1
Anápolis;2014;6,4
Anápolis;2015;4,8
Anápolis;2016;5
Anápolis;2017;2,6
Anápolis;2018;2,9
Anhanguera;2013;0
Anhanguera;2014;0
Anhanguera;2015;0
Anhanguera;2016;0
Anhanguera;2017;0
Anhanguera;2018;0
Anicuns;2013;7,2
Anicuns;2014;8,4
Anicuns;2015;6,6
Anicuns;2016;7
Anicuns;2017;8,2
Anicuns;2018;4,3
Aparecida de Goiânia;2013;10
Aparecida de Goiânia;2014;8,3
Aparecida de Goiânia;2015;9,2
Aparecida de Goiânia;2016;8,4
Aparecida de Goiânia;2017;5,9
Aparecida de Goiânia;2018;5
Aparecida do Rio Doce;2013;8,8
Aparecida do Rio Doce;2014;11,7
Aparecida do Rio Doce;2015;8,3
Aparecida do Rio Doce;2016;5,4
Aparecida do Rio Doce;2017;2,6
Aparecida do Rio Doce;2018;6
Aporé;2013;2,7
Aporé;2014;5,4
Aporé;2015;3
Aporé;2016;4,8
Aporé;2017;0,9
Aporé;2018;1,4
Araçu;2013;3,6
Araçu;2014;4,6
Araçu;2015;5,3
Araçu;2016;0
Araçu;2017;0
Araçu;2018;0
Aragarças;2013;0
Aragarças;2014;16,3
Aragarças;2015;5,2
Aragarças;2016;5,3
Aragarças;2017;4,1
Aragarças;2018;1,3
Aragoiânia;2013;9,1
Aragoiânia;2014;10,2
Aragoiânia;2015;13,2
Aragoiânia;2016;8,8
Aragoiânia;2017;10,3
Aragoiânia;2018;6,6
Araguapaz;2013;0,3
Araguapaz;2014;3,6
Araguapaz;2015;5
Araguapaz;2016;4,4
Araguapaz;2017;0,6
Araguapaz;2018;0
Arenópolis;2013;10,8
Arenópolis;2014;6
Arenópolis;2015;10,2
Arenópolis;2016;8,5
Arenópolis;2017;2,6
Arenópolis;2018;3,4
Aruanã;2013;5,9
Aruanã;2014;4,7
Aruanã;2015;0,4
Aruanã;2016;6,7
Aruanã;2017;0,5
Aruanã;2018;5,6
Aurilândia;2013;1,7
Aurilândia;2014;0
Aurilândia;2015;0
Aurilândia;2016;0
Aurilândia;2017;2,3
Aurilândia;2018;0
Avelinópolis;2013;4,4
Avelinópolis;2014;3
Avelinópolis;2015;0
Avelinópolis;2016;0
Avelinópolis;2017;0
Avelinópolis;2018;0
Baliza;2013;9,9
Baliza;2014;9,5
Baliza;2015;5,5
Baliza;2016;2,6
Baliza;2017;5,5
Baliza;2018;7,4
Barro Alto;2013;4,4
Barro Alto;2014;8,4
Barro Alto;2015;5,4
Barro Alto;2016;6,7
Barro Alto;2017;0,4
Barro Alto;2018;2,2
Bela Vista de Goiás;2013;3,8
Bela Vista de Goiás;2014;11,8
Bela Vista de Goiás;2015;9,2
Bela Vista de Goiás;2016;11,8
Bela Vista de Goiás;2017;0,1
Bela Vista de Goiás;2018;0,5
Bom Jardim de Goiás;2013;4
Bom Jardim de Goiás;2014;3,3
Bom Jardim de Goiás;2015;0,4
Bom Jardim de Goiás;2016;0,9
Bom Jardim de Goiás;2017;1,7
Bom Jardim de Goiás;2018;0,4
Bom Jesus de Goiás;2013;5,9
Bom Jesus de Goiás;2014;4,1
Bom Jesus de Goiás;2015;3,7
Bom Jesus de Goiás;2016;6,6
Bom Jesus de Goiás;2017;3,5
Bom Jesus de Goiás;2018;2,5
Bonfinópolis;2013;5,2
Bonfinópolis;2014;8,4
Bonfinópolis;2015;11,4
Bonfinópolis;2016;8,1
Bonfinópolis;2017;7,3
Bonfinópolis;2018;7,2
Bonópolis;2013;8,7
Bonópolis;2014;9
Bonópolis;2015;1,5
Bonópolis;2016;12,5
Bonópolis;2017;7,8
Bonópolis;2018;6,9
Brazabrantes;2013;3,5
Brazabrantes;2014;11
Brazabrantes;2015;4,5
Brazabrantes;2016;0
Brazabrantes;2017;0
Brazabrantes;2018;0
Britânia;2013;9,7
Britânia;2014;0
Britânia;2015;9,8
