Localidade;Ano;Alfabetizacao
Abadia de Goiás;2000;89,2
Abadia de Goiás;2010;92,97
Abadiânia;1991;76,5
Abadiânia;2000;84,1
Abadiânia;2010;90,17
Acreúna;1991;77,1
Acreúna;2000;83,2
Acreúna;2010;86,62
Adelândia;1991;75,5
Adelândia;2000;80,9
Adelândia;2010;86,42
Água Fria de Goiás;1991;69,2
Água Fria de Goiás;2000;80,3
Água Fria de Goiás;2010;86,55
Água Limpa;1991;79,7
Água Limpa;2000;86,7
Água Limpa;2010;90,7
Águas Lindas de Goiás;2000;88,1
Águas Lindas de Goiás;2010;93,61
Alexânia;1991;72,6
Alexânia;2000;84,3
Alexânia;2010;89,42
Aloândia;1991;80,8
Aloândia;2000;82,8
Aloândia;2010;86,23
Alto Horizonte;2000;86,1
Alto Horizonte;2010;88,6
Alto Paraíso de Goiás;1991;71,7
Alto Paraíso de Goiás;2000;86,4
Alto Paraíso de Goiás;2010;89,88
Alvorada do Norte;1991;66,5
Alvorada do Norte;2000;80,5
Alvorada do Norte;2010;84,28
Amaralina;2000;79,7
Amaralina;2010;85,59
Americano do Brasil;1991;75,1
Americano do Brasil;2000;83,2
Americano do Brasil;2010;85,88
Amorinópolis;1991;77,1
Amorinópolis;2000;83,3
Amorinópolis;2010;83,53
Anápolis;1991;87,5
Anápolis;2000;92
Anápolis;2010;94,7
Anhanguera;1991;87,1
Anhanguera;2000;91,3
Anhanguera;2010;96,63
Anicuns;1991;78,4
Anicuns;2000;85,8
Anicuns;2010;90,49
Aparecida de Goiânia;1991;85,2
Aparecida de Goiânia;2000;92,1
Aparecida de Goiânia;2010;95,04
Aparecida do Rio Doce;1991;67,5
Aparecida do Rio Doce;2000;84,2
Aparecida do Rio Doce;2010;88,25
Aporé;1991;79,8
Aporé;2000;85,4
Aporé;2010;88,26
Araçu;1991;74,8
Araçu;2000;81,5
Araçu;2010;85,37
Aragarças;1991;83
Aragarças;2000;88,2
Aragarças;2010;91,66
Aragoiânia;1991;77,5
Aragoiânia;2000;85,4
Aragoiânia;2010;90,6
Araguapaz;1991;67,8
Araguapaz;2000;78,6
Araguapaz;2010;83,67
Arenópolis;1991;78,2
Arenópolis;2000;81,6
Arenópolis;2010;85,73
Aruanã;1991;71,1
Aruanã;2000;83,5
Aruanã;2010;88,63
Aurilândia;1991;80,5
Aurilândia;2000;84,3
Aurilândia;2010;85,68
Avelinópolis;1991;72
Avelinópolis;2000;82,8
Avelinópolis;2010;87,61
Baliza;1991;74,7
Baliza;2000;79,5
Baliza;2010;84,32
Barro Alto;1991;72,03
Barro Alto;2000;79,2
Barro Alto;2010;88,59
Bela Vista de Goiás;1991;80,3
Bela Vista de Goiás;2000;87,7
Bela Vista de Goiás;2010;91,35
Bom Jardim de Goiás;1991;79,2
Bom Jardim de Goiás;2000;84,6
Bom Jardim de Goiás;2010;85,07
Bom Jesus de Goiás;1991;79,7
Bom Jesus de Goiás;2000;84,4
Bom Jesus de Goiás;2010;89,88
Bonfinópolis;1991;74
Bonfinópolis;2000;85,5
Bonfinópolis;2010;90,37
Bonópolis;2000;81,5
Bonópolis;2010;83,16
Brazabrantes;1991;76,4
Brazabrantes;2000;86,2
Brazabrantes;2010;90,01
Britânia;1991;69,5
Britânia;2000;83,2
Britânia;2010;86,02
Buriti Alegre;1991;78,6
Buriti Alegre;2000;85,4
Buriti Alegre;2010;90,72
Buriti de Goiás;2000;86,8
Buriti de Goiás;2010;87,41
Buritinópolis;2000;71,9
Buritinópolis;2010;83,27
Cabeceiras;1991;76,5
Cabeceiras;2000;84,2
Cabeceiras;2010;88,24
Cachoeira Alta;1991;78,2
Cachoeira Alta;2000;84,4
Cachoeira Alta;2010;89,83
Cachoeira de Goiás;1991;75,8
Cachoeira de Goiás;2000;82,4
Cachoeira de Goiás;2010;87,23
Cachoeira Dourada;1991;73,2
Cachoeira Dourada;2000;82,6
Cachoeira Dourada;2010;86,3
Caçu;1991;83,6
Caçu;2000;86,8
Caçu;2010;91,78
Caiapônia;1991;75,1
Caiapônia;2000;82,4
Caiapônia;2010;86,41
Caldas Novas;1991;88,7
Caldas Novas;2000;92,5
Caldas Novas;2010;94,89
Caldazinha;1991;76,2
Caldazinha;2000;87,8
Caldazinha;2010;90,26
Campestre de Goiás;1991;72,2
Campestre de Goiás;2000;81
Campestre de Goiás;2010;88,55
Campinaçu;1991;72,3
Campinaçu;2000;80,5
Campinaçu;2010;87,92
Campinorte;1991;80,4
Campinorte;2000;83,8
Campinorte;2010;89,29
Campo Alegre de Goiás;1991;82,8
Campo Alegre de Goiás;2000;89,4
Campo Alegre de Goiás;2010;90,2
Campo Limpo de Goiás;2010;87,8
Campos Belos;1991;70,6
Campos Belos;2000;82,4
Campos Belos;2010;86,35
Campos Verdes;1991;69,6
