Localidade;Ano;LigacoesAgua;PercentualPopulacaoAtendidaAgua
Abadia de Goiás;2000;614;
Abadia de Goiás;2001;669;
Abadia de Goiás;2002;745;
Abadia de Goiás;2003;790;
Abadia de Goiás;2004;1266;
Abadia de Goiás;2005;1355;87,63
Abadia de Goiás;2006;1474;86,63
Abadia de Goiás;2007;1686;100
Abadia de Goiás;2008;1830;100
Abadia de Goiás;2009;1906;100
Abadia de Goiás;2010;2055;100
Abadia de Goiás;2011;2213;100
Abadia de Goiás;2012;2348;100
Abadia de Goiás;2013;2493;100
Abadia de Goiás;2014;2676;100
Abadia de Goiás;2015;2780;100
Abadia de Goiás;2016;2892;100
Abadia de Goiás;2017;2955;100
Abadia de Goiás;2018;2992;100
Abadiânia;2000;;
Abadiânia;2001;;
Abadiânia;2002;;
Abadiânia;2003;;
Abadiânia;2004;;
Abadiânia;2005;;
Abadiânia;2006;;
Abadiânia;2007;;
Abadiânia;2008;;
Abadiânia;2009;;
Abadiânia;2010;;
Abadiânia;2011;;
Abadiânia;2012;;
Abadiânia;2013;;
Abadiânia;2014;;
Abadiânia;2015;;
Abadiânia;2016;;
Abadiânia;2017;;
Abadiânia;2018;;
Acreúna;2000;3775;
Acreúna;2001;4024;
Acreúna;2002;4090;
Acreúna;2003;3785;
Acreúna;2004;4132;
Acreúna;2005;4161;71,89
Acreúna;2006;4096;67,5
Acreúna;2007;4268;71,07
Acreúna;2008;4396;71,16
Acreúna;2009;4517;72,7
Acreúna;2010;4739;70,4
Acreúna;2011;4957;78,34
Acreúna;2012;5494;86,21
Acreúna;2013;5705;84,91
Acreúna;2014;5981;88,8
Acreúna;2015;6236;91,5
Acreúna;2016;6390;93,9
Acreúna;2017;6603;96,5
Acreúna;2018;6724;95,8
Adelândia;2000;629;
Adelândia;2001;648;
Adelândia;2002;653;
Adelândia;2003;659;
Adelândia;2004;707;
Adelândia;2005;731;88,7
Adelândia;2006;762;91,76
Adelândia;2007;783;100
Adelândia;2008;807;100
Adelândia;2009;824;100
Adelândia;2010;843;100
Adelândia;2011;863;100
Adelândia;2012;925;100
Adelândia;2013;943;100
Adelândia;2014;970;100
Adelândia;2015;977;100
Adelândia;2016;983;100
Adelândia;2017;1011;100
Adelândia;2018;1021;100
Água Fria de Goiás;2000;734;
Água Fria de Goiás;2001;764;
Água Fria de Goiás;2002;793;
Água Fria de Goiás;2003;615;
Água Fria de Goiás;2004;650;
Água Fria de Goiás;2005;668;92,64
Água Fria de Goiás;2006;697;92,94
Água Fria de Goiás;2007;712;100
Água Fria de Goiás;2008;948;165,74
Água Fria de Goiás;2009;992;86,6
Água Fria de Goiás;2010;1044;86,4
Água Fria de Goiás;2011;1096;82,17
Água Fria de Goiás;2012;1177;85,71
Água Fria de Goiás;2013;1225;84,55
Água Fria de Goiás;2014;1286;85,2
Água Fria de Goiás;2015;1326;85,3
Água Fria de Goiás;2016;1352;80,3
Água Fria de Goiás;2017;1398;80,7
Água Fria de Goiás;2018;1428;81,3
Água Limpa;2000;558;
Água Limpa;2001;574;
Água Limpa;2002;583;
Água Limpa;2003;589;
Água Limpa;2004;617;
Água Limpa;2005;607;93,39
Água Limpa;2006;606;91,4
Água Limpa;2007;621;100
Água Limpa;2008;635;100
Água Limpa;2009;640;100
Água Limpa;2010;645;100
Água Limpa;2011;654;100
Água Limpa;2012;672;100
Água Limpa;2013;686;100
Água Limpa;2014;702;100
Água Limpa;2015;716;100
Água Limpa;2016;729;100
Água Limpa;2017;742;100
