Localidade;Ano;Produtos Minerais não Metálicos;Metalúrgica;Mecânica;Materiais Elétricos e de Comunicação;Materiais de Transporte;Madeira e do Mobiliário;Papel Papelão Editorial e Gráfica;Borracha, Fumo, Couros, Peles, Produtos Similares e Indústria Diversa;Química, Produtos Farmacêuticos, Veterinários, Perfumaria, Sabões, Velas, e Matérias Plásticas;Têxtil do Vestuário e Artefatos de Tecidos;Calçados;Produtos Alimentícios de Bebida e Álcool Etílico
Abadia de Goiás;2000;  ;  ;22;  ;  ;  ;  ;  ;7;  ;  ;6
Abadia de Goiás;2001;131;  ;24;  ;  ;  ;  ;  ;14;5;  ;18
Abadia de Goiás;2002;121;;35;;;;;;17;;;19
Abadia de Goiás;2003;;;32;;;;;;;;;19
Abadia de Goiás;2004;  ;  ;35;  ;  ;  ;  ;  ;11;  ;  ;20
Abadia de Goiás;2005;  ;  ;36;  ;  ;  ;  ;  ;1;23;  ;14
Abadia de Goiás;2006;  ;  ;41;  ;  ;  ;  ;  ;  ;23;  ;25
Abadia de Goiás;2007;  ;7;44;  ;  ;  ;  ;  ;70;26;  ;15
Abadia de Goiás;2008;11;8;74;  ;  ;  ;  ;4;18;39;14;21
Abadia de Goiás;2009;  ;1;67;  ;  ;  ;  ;8;6;43;20;67
Abadia de Goiás;2010;  ;4;73;  ;7;2;  ;7;12;37;  ;48
Abadia de Goiás;2011;1;18;74;;;;;;12;52;;47
Abadia de Goiás;2012;3;32;85;;1;;;;18;45;;63
Abadia de Goiás;2013;2;59;91;;;12;6;33;23;74;5;143
Abadia de Goiás;2014;3;90;126;;10;7;7;36;21;104;3;45
Abadia de Goiás;2015;2;82;80;;12;3;6;46;17;160;;75
Abadia de Goiás;2016;2;67;28;28;13;5;4;46;37;152;;194
Abadia de Goiás;2017;2;63;49;30;22;11;2;46;92;185;5;151
Abadia de Goiás;2018;3;81;38;20;37;5;6;42;85;241;5;124
Abadiânia;1999;64;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;30
Abadiânia;2000;85;4;  ;  ;  ;  ;  ;  ;  ;  ;  ;40
Abadiânia;2001;93;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;30
Abadiânia;2002;105;4;;;;;;;;;;27
Abadiânia;2003;140;;;;;;;;;;;20
Abadiânia;2004;89;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;25
Abadiânia;2005;110;  ;  ;  ;  ;  ;  ;  ;8;  ;  ;32
Abadiânia;2006;99;  ;  ;  ;  ;21;  ;  ;  ;  ;  ;127
Abadiânia;2007;96;  ;  ;  ;  ;18;  ;3;1;  ;  ;68
Abadiânia;2008;87;  ;  ;  ;  ;18;  ;  ;  ;17;  ;105
Abadiânia;2009;112;  ;  ;  ;  ;12;  ;  ;  ;14;  ;101
Abadiânia;2010;134;  ;  ;  ;  ;16;  ;  ;1;14;  ;102
Abadiânia;2011;113;;;;;12;;1;1;;;110
Abadiânia;2012;127;;;;;39;;2;;;;127
Abadiânia;2013;89;;;;;11;;1;;2;;128
Abadiânia;2014;97;;;;;17;;;;1;;91
Abadiânia;2015;87;;;;;20;;;1;37;;98
Abadiânia;2016;94;;;;;21;;;;43;;99
Abadiânia;2017;84;;;;;21;;;;47;;125
Abadiânia;2018;76;  ;  ;  ;  ;28;  ;  ;  ;16;  ;122
Acreúna;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;96;  ;162
Acreúna;2000;  ;2;  ;  ;  ;  ;1;  ;8;109;  ;134
Acreúna;2001;  ;1;  ;  ;  ;  ;  ;  ;  ;109;  ;130
Acreúna;2002;;3;10;;;;1;;16;126;;120
Acreúna;2003;;2;;;;;3;;11;227;;174
Acreúna;2004;  ;3;  ;  ;  ;  ;3;  ;9;272;  ;175
Acreúna;2005;  ;4;3;  ;  ;  ;2;  ;9;404;  ;148
Acreúna;2006;  ;3;  ;  ;  ;  ;2;  ;10;590;  ;193
Acreúna;2007;  ;2;  ;  ;  ;  ;2;  ;4;164;  ;91
Acreúna;2008;2;5;  ;  ;  ;  ;2;  ;2;137;  ;292
Acreúna;2009;2;7;  ;  ;  ;  ;1;  ;  ;93;  ;294
Acreúna;2010;  ;10;  ;  ;  ;  ;1;  ;  ;72;  ;205
Acreúna;2011;;3;5;;;;3;;;91;;223
Acreúna;2012;;4;6;;;;2;;;85;;222
Acreúna;2013;;15;2;;;;1;;;111;;227
Acreúna;2014;;2;7;;;6;1;;;107;;218
Acreúna;2015;;3;8;;;;3;;;14;;194
Acreúna;2016;;7;5;;;1;2;;;27;;210
Acreúna;2017;;5;7;21;;1;1;;;21;;228
Acreúna;2018;  ;5;15;20;  ;1;2;  ;1;20;  ;219
Adelândia;1999;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;4
Adelândia;2000;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Adelândia;2001;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Adelândia;2002;6;;;;;;;;;;;
Adelândia;2003;;;;;;;;;;;;3
Adelândia;2004;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Adelândia;2005;23;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;1
Adelândia;2006;21;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;11
