Localidade;Ano;Instituições de Crédito, Seguro e de Capitalização;Administradoras de Imóveis, Valores Mobiliários, Serviços Técnicos, Profissionais, Auxiliar de Atividade Econômica;Transporte e Comunicações;Serviços de Alojamento, Alimentação, Reparo, Manutenção, Radiodifusão e Televisão;Serviços Médicos, Odontológicos e Veterinários;Ensino
Abadia de Goiás;2000;  ;1;  ;  ;  ;2
Abadia de Goiás;2001;  ;14;  ;1;  ;13
Abadia de Goiás;2002;;30;2;2;;14
Abadia de Goiás;2003;;34;;3;;7
Abadia de Goiás;2004;  ;  ;2;4;  ;8
Abadia de Goiás;2005;  ;23;5;6;  ;6
Abadia de Goiás;2006;  ;23;7;6;  ;  
Abadia de Goiás;2007;  ;22;13;7;  ;  
Abadia de Goiás;2008;3;17;26;17;  ;  
Abadia de Goiás;2009;1;41;30;14;5;2
Abadia de Goiás;2010;8;88;16;12;12;85
Abadia de Goiás;2011;;95;26;19;;5
Abadia de Goiás;2012;2;73;11;26;123;16
Abadia de Goiás;2013;;208;14;41;24;175
Abadia de Goiás;2014;6;119;28;25;112;109
Abadia de Goiás;2015;8;89;26;26;3;92
Abadia de Goiás;2016;5;65;23;17;4;8
Abadia de Goiás;2017;6;66;22;14;18;9
Abadia de Goiás;2018;6;39;33;23;8;9
Abadiânia;1999;7;79;69;90;  ;  
Abadiânia;2000;4;288;40;106;1;15
Abadiânia;2001;4;291;18;112;  ;16
Abadiânia;2002;7;206;4;123;;19
Abadiânia;2003;7;160;4;131;1;25
Abadiânia;2004;4;120;4;137;  ;25
Abadiânia;2005;5;181;3;169;  ;24
Abadiânia;2006;5;57;10;188;  ;6
Abadiânia;2007;5;46;20;321;  ;32
Abadiânia;2008;  ;47;25;295;1;32
Abadiânia;2009;6;47;20;352;1;35
Abadiânia;2010;6;31;45;351;1;37
Abadiânia;2011;8;20;65;377;;32
Abadiânia;2012;8;12;58;387;1;95
Abadiânia;2013;15;8;21;430;2;100
Abadiânia;2014;14;16;73;562;4;109
Abadiânia;2015;13;50;79;601;4;113
Abadiânia;2016;14;52;70;564;7;130
Abadiânia;2017;13;70;55;568;6;101
Abadiânia;2018;12;79;53;567;6;128
Acreúna;1999;30;13;71;11;7;34
Acreúna;2000;29;26;86;14;12;32
Acreúna;2001;24;22;64;30;5;50
Acreúna;2002;29;30;67;46;13;52
Acreúna;2003;27;56;61;69;14;54
Acreúna;2004;29;69;57;69;13;63
Acreúna;2005;24;43;53;75;12;59
Acreúna;2006;23;24;42;67;11;53
Acreúna;2007;20;56;57;60;18;57
Acreúna;2008;24;36;51;79;21;62
Acreúna;2009;22;31;62;73;20;54
Acreúna;2010;26;55;65;133;25;57
Acreúna;2011;29;80;85;95;28;53
Acreúna;2012;29;66;106;103;31;54
Acreúna;2013;36;56;97;105;30;65
Acreúna;2014;34;96;81;124;29;28
Acreúna;2015;39;80;93;115;37;74
Acreúna;2016;38;80;82;136;37;76
Acreúna;2017;38;95;87;140;32;54
Acreúna;2018;31;122;108;134;43;70
Adelândia;1999;  ;  ;2;  ;4;  
Adelândia;2000;  ;  ;4;  ;5;  
Adelândia;2001;  ;  ;1;  ;5;  
Adelândia;2002;;;3;1;3;
Adelândia;2003;;;2;;1;
Adelândia;2004;  ;  ;2;  ;1;  
Adelândia;2005;  ;  ;2;  ;  ;  
Adelândia;2006;  ;  ;2;  ;  ;  
Adelândia;2007;  ;  ;4;1;  ;  
Adelândia;2008;  ;  ;2;1;  ;  
Adelândia;2009;  ;2;  ;1;  ;  
Adelândia;2010;  ;4;1;1;  ;  
