Localidade;Ano;Total;Indústria de Transformação;Indústria de Extração de Minerais;Serviços Industriais de Utilidade Pública;Construção Civil;Comércio;Serviços;Administração Pública Direta e Indireta;Agricultura, Silvicultura, Criação de Animais, Extração Vegetal e Pesca;Atividade não especificada ou classificada
Abadia de Goiás;2000;217;;  ;  ;12;;;100;37;68
Abadia de Goiás;2001;335;;  ;  ;26;;;  ;45;264
Abadia de Goiás;2002;513;;;;6;;;146;68;293
Abadia de Goiás;2003;414;;;;7;;;168;83;156
Abadia de Goiás;2004;370;  ;;  ;;7;1;167;62;133
Abadia de Goiás;2005;444;  ;;  ;;12;2;196;57;177
Abadia de Goiás;2006;488;  ;;  ;;12;  ;213;78;185
Abadia de Goiás;2007;565;  ;;  ;;12;1;231;49;272
Abadia de Goiás;2008;899;  ;;  ;;47;134;278;81;359
Abadia de Goiás;2009;828;  ;;  ;;19;18;298;62;431
Abadia de Goiás;2010;1108;  ;190;  ;195;141;15;289;72;206
Abadia de Goiás;2011;840;204;;;56;122;145;243;70;0
Abadia de Goiás;2012;1392;247;;;206;321;251;291;76;0
Abadia de Goiás;2013;1916;448;;;218;440;462;251;97;0
Abadia de Goiás;2014;1995;452;2;;136;549;399;294;163;0
Abadia de Goiás;2015;1889;483;;;143;390;244;446;183;0
Abadia de Goiás;2016;1644;576;;;83;323;122;346;194;0
Abadia de Goiás;2017;1826;658;;;69;394;135;417;153;0
Abadia de Goiás;2018;1816;687;  ;1;78;376;118;445;111;0
Abadiânia;1999;818;;23;6;1;;;220;112;456
Abadiânia;2000;1105;;25;6;2;;;248;121;703
Abadiânia;2001;1090;;29;5;27;;;219;127;683
Abadiânia;2002;1059;;24;6;6;;;252;134;637
Abadiânia;2003;1150;;31;2;2;;;316;149;650
Abadiânia;2004;1107;31;;6;;1;2;275;209;583
Abadiânia;2005;1401;30;;22;;15;1;375;199;759
Abadiânia;2006;1259;34;;25;;1;4;324;203;668
Abadiânia;2007;1333;30;;22;;3;1;309;207;761
Abadiânia;2008;1481;14;;22;;  ;33;344;273;795
Abadiânia;2009;1619;27;;2;;  ;36;397;259;898
Abadiânia;2010;1768;32;267;2;228;  ;13;550;218;458
