Localidade;Ano;LigacoesEsgoto;PercentualPopulacaoAtendidaEsgoto
Abadia de Goiás;2006;264;15,59
Abadia de Goiás;2007;273;20,89
Abadia de Goiás;2008;372;25,72
Abadia de Goiás;2009;573;39,3
Abadia de Goiás;2010;747;42,5
Abadia de Goiás;2011;796;42,45
Abadia de Goiás;2012;831;43,9
Abadia de Goiás;2013;856;42,26
Abadia de Goiás;2014;894;43,5
Abadia de Goiás;2015;984;46,6
Abadia de Goiás;2016;1075;49,3
Abadia de Goiás;2017;1097;49,4
Abadia de Goiás;2018;1121;49,6
Acreúna;2010;1;
Acreúna;2011;1711;26,01
Acreúna;2012;1732;28,9
Acreúna;2013;1759;25,04
Acreúna;2014;1790;25,2
Acreúna;2015;1811;25,1
Acreúna;2016;1840;25,3
Acreúna;2017;2500;34,7
Acreúna;2018;3157;44,2
Adelândia;2017;1;0,1
Águas Lindas de Goiás;2017;1616;2,8
Águas Lindas de Goiás;2018;14169;26,7
Alexânia;2011;1;
Alexânia;2012;1;
Alexânia;2013;1;
Alexânia;2014;1;
Alexânia;2015;1;
Alexânia;2016;1;
Alexânia;2017;1;
Alexânia;2018;1;
Alto Horizonte;2014;1;
Alvorada do Norte;2005;63;1,88
Alvorada do Norte;2006;63;1,88
Alvorada do Norte;2007;63;1,94
Alvorada do Norte;2008;64;1,92
Alvorada do Norte;2009;64;1,8
Alvorada do Norte;2010;78;2,4
Alvorada do Norte;2011;78;2,43
Alvorada do Norte;2012;80;2,4
Alvorada do Norte;2013;80;2,25
Alvorada do Norte;2014;83;2,4
Alvorada do Norte;2015;83;2,3
Alvorada do Norte;2016;83;2,2
Alvorada do Norte;2017;84;2,2
Alvorada do Norte;2018;87;2
Amaralina;2018;1;
Anápolis;2005;37517;48,52
Anápolis;2006;38134;47,84
Anápolis;2007;39501;45,86
Anápolis;2008;40876;46,67
Anápolis;2009;42604;47,7
Anápolis;2010;46206;47,4
Anápolis;2011;51000;49,83
Anápolis;2012;53934;52,7
Anápolis;2013;60507;54,89
Anápolis;2014;64148;57,5
Anápolis;2015;67347;59,5
Anápolis;2016;70293;61,1
Anápolis;2017;74263;63,8
Anápolis;2018;78784;66,9
Anicuns;2005;1940;35,44
Anicuns;2006;2099;37,43
Anicuns;2007;2148;41,52
Anicuns;2008;2187;43,78
Anicuns;2009;2224;41,7
Anicuns;2010;2270;36,4
Anicuns;2011;2511;40,45
Anicuns;2012;2566;42,3
Anicuns;2013;2612;39,31
Anicuns;2014;2733;40,3
Anicuns;2015;2873;41,4
Anicuns;2016;2942;42,7
Anicuns;2017;3009;43,1
Anicuns;2018;3120;43,7
Aparecida de Goiânia;2005;14297;15,76
Aparecida de Goiânia;2006;16170;16,04
Aparecida de Goiânia;2007;17680;15,92
Aparecida de Goiânia;2008;19414;16,17
Aparecida de Goiânia;2009;21379;16,7
Aparecida de Goiânia;2010;23358;19,5
Aparecida de Goiânia;2011;25148;19,87
Aparecida de Goiânia;2012;26501;20,3
Aparecida de Goiânia;2013;28911;20,3
Aparecida de Goiânia;2014;30669;21,8
Aparecida de Goiânia;2015;33813;22,8
Aparecida de Goiânia;2016;37471;24,7
Aparecida de Goiânia;2017;50350;32,3
Aparecida de Goiânia;2018;58144;36,2
Aparecida do Rio Doce;2007;538;72,32
Aparecida do Rio Doce;2008;660;11,1
Aparecida do Rio Doce;2009;779;93,6
Aparecida do Rio Doce;2010;801;100
Aparecida do Rio Doce;2011;832;100
Aparecida do Rio Doce;2012;864;100
Aparecida do Rio Doce;2013;876;100
Aparecida do Rio Doce;2014;889;100
Aparecida do Rio Doce;2015;980;100
Aparecida do Rio Doce;2016;1125;100
Aparecida do Rio Doce;2017;1135;100
Aparecida do Rio Doce;2018;1149;100
Aragoiânia;2018;1;
Araguapaz;2005;1138;67,78
Araguapaz;2006;1139;61,51
Araguapaz;2007;1142;59,73
Araguapaz;2008;1220;61,88
Araguapaz;2009;1236;62,4
Araguapaz;2010;1263;65,9
Araguapaz;2011;1328;67,49
Araguapaz;2012;1364;68,7
Araguapaz;2013;1385;66,97
Araguapaz;2014;1414;69
Araguapaz;2015;1433;69,8
Araguapaz;2016;1445;70,2
Araguapaz;2017;1483;71,8
Araguapaz;2018;1505;72,6
Aruanã;2013;562;23,05
Aruanã;2014;931;37,5
Aruanã;2015;1109;43,1
Aruanã;2016;1254;48,2
Aruanã;2017;1280;48,2
Aruanã;2018;1390;50,9
Avelinópolis;2016;1;0,1
Avelinópolis;2017;1;0,1
Avelinópolis;2018;1;0,1
Barro Alto;2018;1;
Bela Vista de Goiás;2005;2001;42,53
Bela Vista de Goiás;2006;2390;49,54
Bela Vista de Goiás;2007;2471;46
Bela Vista de Goiás;2008;2571;47,95
Bela Vista de Goiás;2009;2906;50,4
Bela Vista de Goiás;2010;3062;45,4
Bela Vista de Goiás;2011;3261;48,02
Bela Vista de Goiás;2012;3426;52,3
Bela Vista de Goiás;2013;3654;50,09
Bela Vista de Goiás;2014;4159;57
Bela Vista de Goiás;2015;4417;59,2
Bela Vista de Goiás;2016;4696;61,2
Bela Vista de Goiás;2017;4889;62,8
Bela Vista de Goiás;2018;5245;66,3
Bom Jesus de Goiás;2007;831;12,63
Bom Jesus de Goiás;2008;962;14,48
