Localidade;Ano;Federal;Estadual;Municipal;Particular
Goiânia;2002;3;163;227;388
Goiânia;2003;3;188;193;367
Goiânia;2004;3;137;209;382
Goiânia;2005;3;123;228;387
Goiânia;2006;3;122;245;332
Goiânia;2007;3;119;251;270
Goiânia;2008;3;115;257;319
Goiânia;2009;3;116;263;550
Goiânia;2010;3;118;272;351
Goiânia;2011;3;115;274;337
Goiânia;2012;3;109;284;336
Goiânia;2014;3;109;289;363
Goiânia;2015;3;108;300;375
Goiânia;2016;3;109;302;378
Goiânia;2017;3;108;303;383
Goiânia;2018;3;108;304;394
Goiânia;2013;2;108;285;347
Águas Lindas de Goiás;2014;1;17;44;38
Águas Lindas de Goiás;2015;1;17;45;35
Águas Lindas de Goiás;2016;1;17;46;34
Águas Lindas de Goiás;2017;1;17;46;37
Águas Lindas de Goiás;2018;1;17;46;42
Anápolis;2011;1;42;84;77
Anápolis;2012;1;42;84;82
Anápolis;2013;1;42;87;87
Anápolis;2014;1;42;91;86
Anápolis;2015;1;42;92;88
Anápolis;2016;1;42;92;87
Anápolis;2017;1;42;95;78
Anápolis;2018;1;42;95;82
Aparecida de Goiânia;2012;1;56;65;76
Aparecida de Goiânia;2013;1;56;67;79
Aparecida de Goiânia;2014;1;56;70;80
Aparecida de Goiânia;2015;1;57;71;77
Aparecida de Goiânia;2016;1;57;78;78
Aparecida de Goiânia;2017;1;57;91;75
Aparecida de Goiânia;2018;1;57;92;76
Campos Belos;2015;1;4;11;2
Campos Belos;2016;1;4;11;2
Campos Belos;2017;1;4;11;2
Campos Belos;2018;1;4;11;2
Catalão;2015;1;17;27;26
Catalão;2016;1;17;26;25
Catalão;2017;1;17;26;24
Catalão;2018;1;17;26;24
Ceres;2002;1;9;9;5
Ceres;2003;1;7;8;6
Ceres;2004;1;5;8;8
Ceres;2005;1;5;7;10
Ceres;2006;1;5;7;10
Ceres;2007;1;5;8;10
Ceres;2008;1;5;7;10
Ceres;2009;1;5;7;9
Ceres;2010;1;5;6;9
Ceres;2011;1;5;6;9
Ceres;2012;1;5;6;8
Ceres;2013;1;6;6;9
Ceres;2014;1;6;6;8
Ceres;2015;1;6;7;8
Ceres;2016;1;6;7;9
Ceres;2017;1;6;7;9
Ceres;2018;1;5;7;9
Cristalina;2015;1;6;22;14
Cristalina;2016;1;7;23;13
Cristalina;2017;1;7;24;14
Cristalina;2018;1;7;24;14
Formosa;2011;1;21;43;15
Formosa;2012;1;20;42;12
Formosa;2013;1;19;45;14
Formosa;2014;1;19;48;13
Formosa;2015;1;19;48;13
Formosa;2016;1;19;49;14
Formosa;2017;1;19;49;11
Formosa;2018;1;20;50;13
Goiás;2012;1;12;16;6
Goiás;2013;1;12;16;7
Goiás;2014;1;12;17;9
Goiás;2015;1;12;15;9
Goiás;2016;1;11;16;9
Goiás;2017;1;11;16;7
Goiás;2018;1;11;15;8
Hidrolândia;2015;1;4;14;1
Hidrolândia;2016;1;4;14;
Hidrolândia;2017;1;4;13;
Hidrolândia;2018;1;4;13;0
Inhumas;2007;1;12;24;13
Inhumas;2008;1;12;24;13
Inhumas;2009;1;11;24;15
Inhumas;2010;1;11;23;14
Inhumas;2011;1;10;23;14
Inhumas;2012;1;10;23;13
Inhumas;2013;1;10;23;13
Inhumas;2014;1;10;22;13
Inhumas;2015;1;10;22;12
Inhumas;2016;1;10;22;12
Inhumas;2017;1;10;22;10
Inhumas;2018;1;9;21;10
Ipameri;2015;1;8;17;4
Ipameri;2016;1;8;17;4
Ipameri;2017;1;8;17;4
Ipameri;2018;1;7;17;4
Iporá;2011;1;10;13;5
Iporá;2012;1;9;13;6
Iporá;2013;1;9;13;6
Iporá;2014;1;9;13;7
Iporá;2015;1;9;13;7
Iporá;2016;1;9;12;7
Iporá;2017;1;9;12;7
Iporá;2018;1;9;12;6
Itumbiara;2009;1;16;26;20
Itumbiara;2010;1;15;27;20
Itumbiara;2011;1;15;28;19
Itumbiara;2012;1;15;28;19
Itumbiara;2013;1;15;31;17
Itumbiara;2014;1;15;31;17
Itumbiara;2015;1;15;33;16
Itumbiara;2016;1;15;33;15
Itumbiara;2017;1;15;34;17
Itumbiara;2018;1;15;34;18
Jataí;2002;1;14;33;13
Jataí;2003;1;13;33;15
Jataí;2004;1;11;32;18
Jataí;2005;1;11;31;21
Jataí;2006;1;11;32;20
Jataí;2007;1;11;32;20
Jataí;2008;1;11;32;25
Jataí;2009;1;11;32;25
Jataí;2010;1;11;32;25
Jataí;2011;1;11;34;19
Jataí;2012;1;11;37;16
Jataí;2013;1;11;34;19
Jataí;2014;1;11;35;17
Jataí;2015;1;11;37;16
Jataí;2016;1;11;37;17
Jataí;2017;1;11;38;14
Jataí;2018;1;11;39;16
Luziânia;2011;1;33;52;21
Luziânia;2012;1;33;56;22
Luziânia;2013;1;33;56;20
Luziânia;2014;1;33;56;22
Luziânia;2015;1;33;56;22
Luziânia;2016;1;33;57;23
Luziânia;2017;1;33;57;25
Luziânia;2018;1;33;59;26
Morrinhos;2002;1;9;24;10
Morrinhos;2003;1;9;22;10
Morrinhos;2004;1;7;22;11
Morrinhos;2005;1;7;23;11
Morrinhos;2006;1;7;20;12
Morrinhos;2007;1;7;20;13
Morrinhos;2008;1;7;20;13
Morrinhos;2009;1;7;20;13
Morrinhos;2010;1;7;19;14
Morrinhos;2011;1;7;17;12
Morrinhos;2012;1;7;14;12
Morrinhos;2013;1;7;14;12
Morrinhos;2014;1;7;14;12
Morrinhos;2015;1;7;15;12
Morrinhos;2016;1;7;16;12
Morrinhos;2017;1;7;16;12
Morrinhos;2018;1;7;17;12
Posse;2015;1;8;22;3
Posse;2016;1;8;22;4
Posse;2017;1;8;22;4
Posse;2018;1;8;18;4
Rio Verde;2002;1;22;57;30
Rio Verde;2003;1;19;56;33
Rio Verde;2004;1;18;57;33
Rio Verde;2005;1;19;59;33
Rio Verde;2006;1;19;62;30
Rio Verde;2007;1;19;66;25
Rio Verde;2008;1;19;67;29
Rio Verde;2009;1;19;68;29
Rio Verde;2010;1;19;71;28
Rio Verde;2011;1;19;70;24
Rio Verde;2012;1;19;69;25
Rio Verde;2013;1;19;69;30
Rio Verde;2014;1;19;69;32
Rio Verde;2015;1;19;69;34
Rio Verde;2016;1;19;70;32
Rio Verde;2017;1;19;71;25
Rio Verde;2018;1;19;73;27
Senador Canedo;2015;1;6;41;10
Senador Canedo;2016;1;6;42;12
Senador Canedo;2017;1;6;44;13
Senador Canedo;2018;1;6;44;12
Trindade;2015;1;21;29;14
Trindade;2016;1;21;31;13
Trindade;2017;1;21;32;12
Trindade;2018;1;21;32;20
Uruaçu;2009;1;12;19;7
Uruaçu;2010;1;12;18;6
