Localidade	Ano	Gini
Abadia de Goiás	1991	0,45
Abadia de Goiás	2000	0,53
Abadia de Goiás	2010	0,43
Abadiânia	1991	0,52
Abadiânia	2000	0,56
Abadiânia	2010	0,44
Acreúna	1991	0,53
Acreúna	2000	0,6
Acreúna	2010	0,54
Adelândia	1991	0,51
Adelândia	2000	0,56
Adelândia	2010	0,43
Água Fria de Goiás	1991	0,5
Água Fria de Goiás	2000	0,63
Água Fria de Goiás	2010	0,61
Água Limpa	1991	0,52
Água Limpa	2000	0,57
Água Limpa	2010	0,47
Águas Lindas de Goiás	1991	0,5
Águas Lindas de Goiás	2000	0,46
Águas Lindas de Goiás	2010	0,45
Alexânia	1991	0,51
Alexânia	2000	0,57
Alexânia	2010	0,48
Aloândia	1991	0,51
Aloândia	2000	0,56
Aloândia	2010	0,45
Alto Horizonte	1991	0,55
Alto Horizonte	2000	0,58
Alto Horizonte	2010	0,5
Alto Paraíso de Goiás	1991	0,59
Alto Paraíso de Goiás	2000	0,61
Alto Paraíso de Goiás	2010	0,66
Alvorada do Norte	1991	0,54
Alvorada do Norte	2000	0,6
Alvorada do Norte	2010	0,5
Amaralina	1991	0,64
Amaralina	2000	0,62
Amaralina	2010	0,56
Americano do Brasil	1991	0,58
Americano do Brasil	2000	0,63
Americano do Brasil	2010	0,42
Amorinópolis	1991	0,55
Amorinópolis	2000	0,55
Amorinópolis	2010	0,43
Anápolis	1991	0,56
Anápolis	2000	0,57
Anápolis	2010	0,52
Anhanguera	1991	0,49
Anhanguera	2000	0,46
Anhanguera	2010	0,39
Anicuns	1991	0,48
Anicuns	2000	0,6
Anicuns	2010	0,48
Aparecida de Goiânia	1991	0,44
Aparecida de Goiânia	2000	0,47
Aparecida de Goiânia	2010	0,49
Aparecida do Rio Doce	1991	0,41
Aparecida do Rio Doce	2000	0,51
Aparecida do Rio Doce	2010	0,52
Aporé	1991	0,52
Aporé	2000	0,61
Aporé	2010	0,46
Araçu	1991	0,49
Araçu	2000	0,5
Araçu	2010	0,54
Aragarças	1991	0,48
Aragarças	2000	0,53
Aragarças	2010	0,46
Aragoiânia	1991	0,45
Aragoiânia	2000	0,51
Aragoiânia	2010	0,47
Araguapaz	1991	0,53
Araguapaz	2000	0,62
Araguapaz	2010	0,54
Arenópolis	1991	0,51
Arenópolis	2000	0,51
Arenópolis	2010	0,51
Aruanã	1991	0,5
Aruanã	2000	0,55
Aruanã	2010	0,52
Aurilândia	1991	0,5
Aurilândia	2000	0,55
Aurilândia	2010	0,44
Avelinópolis	1991	0,49
Avelinópolis	2000	0,71
Avelinópolis	2010	0,59
Baliza	1991	0,48
Baliza	2000	0,54
Baliza	2010	0,58
Barro Alto	1991	0,47
Barro Alto	2000	0,52
Barro Alto	2010	0,45
Bela Vista de Goiás	1991	0,55
Bela Vista de Goiás	2000	0,46
