Localidade;Ano;IDM Infraestrutura;Cobertura da rede de água tratada;Cobertura da rede de energia elétrica;Cobertura da rede de esgoto;Cobertura da rede de telefonia fixa e internet
Abadia de Goiás;2012;4,3675;6,33;5,05;3,31;2,78
Abadia de Goiás;2014;4,9175;6,65;5,87;3,25;3,9
Abadia de Goiás;2016;5,1725;6,53;6,74;3,1;4,32
Abadia de Goiás;2018;5,4525;6,4;7,99;2,98;4,44
Abadiânia;2012;3,06;3,56;2,01;5,05;1,62
Abadiânia;2014;3,04;3,39;2,09;4,82;1,86
Abadiânia;2016;2,73;3,04;2,17;4,17;1,54
Abadiânia;2018;2,5075;2,9;2,06;3,75;1,32
Acreúna;2012;3,42;4,33;3,68;2,45;3,22
Acreúna;2014;3,5975;4,95;3,81;2,36;3,27
Acreúna;2016;3,7175;4,93;4,06;2,06;3,82
Acreúna;2018;3,7025;4,97;4,33;2,52;2,99
Adelândia;2012;3,1075;7,22;3,71;0;1,5
Adelândia;2014;3,49;7,69;3,87;0;2,4
Adelândia;2016;3,225;7,2;4;0;1,7
Adelândia;2018;3,3875;7,13;4,65;0,01;1,76
Água Fria de Goiás;2012;1,695;3,53;1,95;0;1,3
Água Fria de Goiás;2014;1,7525;3,88;2;0;1,13
Água Fria de Goiás;2016;1,6675;3,81;2,17;0;0,69
Água Fria de Goiás;2018;1,5375;3,82;1,74;0;0,59
Água Limpa;2012;3,2125;6,64;4,08;0;2,13
Água Limpa;2014;3,225;6,86;4,3;0;1,74
Água Limpa;2016;2,58;6,63;2,02;0;1,67
Água Limpa;2018;3,4675;6,72;5,24;0;1,91
Águas Lindas de Goiás;2012;2,515;4,4;3,43;0;2,23
Águas Lindas de Goiás;2014;2,84;5,23;4,01;0;2,12
Águas Lindas de Goiás;2016;3,035;5,31;4,29;0;2,54
Águas Lindas de Goiás;2018;3,39;5,72;4,75;0,18;2,91
Alexânia;2012;2,79;5,2;3,91;0;2,05
Alexânia;2014;3,115;5,73;4,23;0;2,5
Alexânia;2016;3,08;5,42;4,33;0;2,57
Alexânia;2018;3,0225;5,3;4,42;0;2,37
Aloândia;2012;3,8;8,49;4,69;0;2,02
Aloândia;2014;3,7375;8,45;4,67;0;1,83
Aloândia;2016;3,655;8,25;4,85;0;1,52
Aloândia;2018;3,8125;8,08;5,73;0;1,44
Alto Horizonte;2012;2,98;6,88;3,25;0;1,79
Alto Horizonte;2014;3,39;7,59;3,78;0;2,19
Alto Horizonte;2016;3,265;6,88;3,94;0;2,24
Alto Horizonte;2018;2,975;6,34;4,22;0;1,34
Alto Paraíso de Goiás;2012;3,71;6,83;3,24;0;4,77
Alto Paraíso de Goiás;2014;4,035;6,94;3,38;0;5,82
Alto Paraíso de Goiás;2016;4,015;6,79;3,55;0;5,72
Alto Paraíso de Goiás;2018;4,5;7,32;3,96;0;6,72
Alvorada do Norte;2012;2,915;6,62;3,12;0,28;1,64
Alvorada do Norte;2014;3,2675;6,98;3,4;0,27;2,42
Alvorada do Norte;2016;3,1925;6,63;3,49;0,24;2,41
Alvorada do Norte;2018;3,3775;6,57;4,09;0,22;2,63
Amaralina;2012;0,8725;1,77;1,04;0;0,68
Amaralina;2014;0,875;1,75;1,08;0;0,67
Amaralina;2016;1,0375;1,96;1,23;0;0,96
Amaralina;2018;1,1075;1,92;1,16;0;1,35
Americano do Brasil;2012;3,1975;6,61;4,09;0;2,09
Americano do Brasil;2014;3,2925;6,61;4,2;0;2,36
Americano do Brasil;2016;3,2225;6,34;4,44;0;2,11
Americano do Brasil;2018;3,525;6,94;4,93;0;2,23
Amorinópolis;2012;3,1775;7,27;3,99;0;1,45
Amorinópolis;2014;3,1675;7,29;3,98;0;1,4
Amorinópolis;2016;3,035;6,97;4,17;0;1
Amorinópolis;2018;2,96;7,21;3,81;0;0,82
Anápolis;2012;5,1375;5,89;4,45;4,4;5,81
Anápolis;2014;5,48;6,33;4,72;4,85;6,02
Anápolis;2016;5,3675;6,12;4,94;4,55;5,86
Anápolis;2018;5,4425;6,22;5,53;4,41;5,61
Anhanguera;2012;4,735;10;5,19;0;3,75
Anhanguera;2014;4,7675;9,67;5,08;0;4,32
Anhanguera;2016;4,8375;9,81;5,62;0;3,92
Anhanguera;2018;5,5975;9,42;6,38;0;6,59
Anicuns;2012;3,985;6,05;3,42;3,6;2,87
Anicuns;2014;4,0375;6,07;3,43;3,52;3,13
Anicuns;2016;3,7975;5,62;3,5;3,31;2,76
Anicuns;2018;3,6975;5,64;3,79;3,07;2,29
Aparecida de Goiânia;2012;3,615;2,73;4,1;1,58;6,05
Aparecida de Goiânia;2014;3,8025;3,13;4,21;1,66;6,21
Aparecida de Goiânia;2016;3,97;3,24;4,36;1,61;6,67
Aparecida de Goiânia;2018;4,34;3,45;4,77;2,07;7,07
Aparecida do Rio Doce;2012;6,14;7,75;3,84;10;2,97
Aparecida do Rio Doce;2014;6,2575;8,48;4,29;10;2,26
Aparecida do Rio Doce;2016;6,025;7,99;4,48;9,65;1,98
Aparecida do Rio Doce;2018;6,4725;8,7;4,92;10;2,27
Aporé;2012;2,8325;6,42;3,02;0;1,89
Aporé;2014;2,99;6,74;3,14;0;2,08
Aporé;2016;2,7475;6,27;3,2;0;1,52
Aporé;2018;2,7925;6,43;3,68;0;1,06
Araçu;2012;3,575;7,8;4,33;0;2,17
Araçu;2014;3,7525;8,17;4,61;0;2,23
Araçu;2016;3,9125;8,08;4,8;0;2,77
Araçu;2018;4,34;8,03;5,91;0;3,42
Aragarças;2012;3,5925;7,14;4,06;0;3,17
Aragarças;2014;3,7475;7,23;4,14;0;3,62
Aragarças;2016;3,7525;6,89;4,3;0;3,82
Aragarças;2018;3,6625;6,8;4,77;0;3,08
Aragoiânia;2012;2,7;4,17;4,14;0;2,49
Aragoiânia;2014;2,925;4,66;4,77;0;2,27
Aragoiânia;2016;3,0075;5,27;4,98;0;1,78
Aragoiânia;2018;3,1075;4,95;5,99;0;1,49
Araguapaz;2012;3,5075;4,88;2,91;5,15;1,09
Araguapaz;2014;3,735;5,19;3,02;5,09;1,64
Araguapaz;2016;3,5875;5,11;3,22;4,53;1,49
Araguapaz;2018;3,73;5,12;3,82;4,19;1,79
Arenópolis;2012;2,95;6,26;3,75;0;1,79
Arenópolis;2014;3,455;6,61;3,98;0;3,23
Arenópolis;2016;3,675;6,62;4,27;0;3,81
Arenópolis;2018;3,7825;6,98;4,51;0;3,64
Aruanã;2012;3,5675;6,94;5,11;0;2,22
Aruanã;2014;4,43;7,67;5,49;1,94;2,62
Aruanã;2016;4,7375;7,42;5,57;3,15;2,81
Aruanã;2018;4,9375;7,27;6,26;3,13;3,09
Aurilândia;2012;3,795;7,81;4,12;0;3,25
Aurilândia;2014;3,9125;7,95;4,28;0;3,42
Aurilândia;2016;4,08;7,7;4,52;0;4,1
Aurilândia;2018;4,1675;7,68;5,2;0;3,79
Avelinópolis;2012;3,22;7,11;3,45;0;2,32
Avelinópolis;2014;3,78;7,6;3,88;0;3,64
Avelinópolis;2016;3,57;7,24;4,05;0;2,99
Avelinópolis;2018;3,92;7,61;4,96;0,01;3,1
Baliza;2012;0,4675;1,32;0,38;0;0,17
Baliza;2014;0,485;1,48;0,28;0;0,18
Baliza;2016;0,465;1,48;0,29;0;0,09
Baliza;2018;0,535;1,44;0,7;0;0
Barro Alto;2012;2,625;5,56;3,18;0;1,76
Barro Alto;2014;2,71;5,78;3,3;0;1,76
Barro Alto;2016;2,5475;5,34;3,36;0;1,49
Barro Alto;2018;2,505;5,3;2,99;0;1,73
