Localidade	Ano	Cursos Presenciais/Federal	Cursos Presenciais/Estadual	Cursos Presenciais/Municipal	Cursos Presenciais/Particular	Cursos Presenciais/Comunitária, Confessional ou Filantrópica	Educação Profissional/Estadual	Educação Profissional/Federal	Educação Profissional/Municipal	Educação Profissional/Particular	Ensino Médio/Estadual	Ensino Médio/Federal	Ensino Médio/Municipal	Ensino Médio/Particular	EJA/Municipal	EJA/Estadual	EJA/Federal	EJA/Particular
Abadia de Goiás	2002										246							
Abadia de Goiás	2003										259							
Abadia de Goiás	2004										291							
Abadia de Goiás	2005										263							
Abadia de Goiás	2006										304							
Abadia de Goiás	2007										371							
Abadia de Goiás	2008										274				48			
Abadia de Goiás	2009										299				107			
Abadia de Goiás	2010						 	 	 	 	326	 	 	 	117	 	 	 
Abadia de Goiás	2011										315				154			
Abadia de Goiás	2012										312							
Abadia de Goiás	2013										323							
Abadia de Goiás	2014										332							
Abadia de Goiás	2015										365							
Abadia de Goiás	2016										425							
Abadia de Goiás	2017										466					20		
Abadia de Goiás	2018						0	0	0	0	528	0	0	0	0	158	0	0
Abadiânia	2002										373			266	50			
Abadiânia	2003										383			211	58			
Abadiânia	2004										407			171	119			
Abadiânia	2005										413			193	109			
Abadiânia	2006										448			176	126			
Abadiânia	2007										529			126	70			
Abadiânia	2008										490			148	105			
Abadiânia	2009										453			126	245			
Abadiânia	2010						 	 	 	 	470	 	 	185	199	59	 	 
Abadiânia	2011										439			254	177	50		
Abadiânia	2012										424			289	188	36		
Abadiânia	2013										483			277	65	81		
Abadiânia	2014										537			322	49	148		
Abadiânia	2015										506			346	31	120		
Abadiânia	2016										506			341		119		
Abadiânia	2017										418			360		192		
Abadiânia	2018						0	0	0	0	422	0	0	338	0	137	0	0
Acreúna	2002										718			100		308		287
Acreúna	2003										732			88	25	407		117
Acreúna	2004										758			79	77	569		88
Acreúna	2005										900			67	34	428		49
Acreúna	2006										927			64		391		19
Acreúna	2007										607			63		335		
Acreúna	2008										631			56		236		
Acreúna	2009										729			79		234		
Acreúna	2010						 	 	 	 	798	 	 	76	142	367	 	 
Acreúna	2011										731			93	108	323		
Acreúna	2012										721			92		219		
Acreúna	2013										633			101	42	181		
Acreúna	2014										600			84		154		
Acreúna	2015										650			87		155		
Acreúna	2016										667			90		255		
Acreúna	2017										629			63	100	255		
Acreúna	2018						0	0	0	0	676	0	0	64	63	313	0	0
Adelândia	2002										156							
Adelândia	2003										135							
Adelândia	2004										143							
Adelândia	2005										154							
Adelândia	2006										157							
Adelândia	2007										177					21		
Adelândia	2008										139					16		
Adelândia	2009										150					57		
Adelândia	2010						 	 	 	 	130	 	 	 	 	37	 	 
Adelândia	2011										124					17		
Adelândia	2012										84					23		
Adelândia	2013										91					16		
Adelândia	2014										89				25	25		
Adelândia	2015										89					16		
Adelândia	2016										78				13	14		
Adelândia	2017										78					8		
Adelândia	2018						0	0	0	0	78	0	0	0	0	10	0	0
Água Fria de Goiás	2002										186				21			
Água Fria de Goiás	2003										211				16			
Água Fria de Goiás	2004										290				27	20		
Água Fria de Goiás	2005										299				9	15		
Água Fria de Goiás	2006										308				69	16		
Água Fria de Goiás	2007										243				133			
Água Fria de Goiás	2008										198				84			
Água Fria de Goiás	2009										205				103			
Água Fria de Goiás	2010						 	 	 	 	209	 	 	 	97	 	 	 
Água Fria de Goiás	2011										211				78			
Água Fria de Goiás	2012										182				64			
Água Fria de Goiás	2013										176				64			
Água Fria de Goiás	2014										193				56			
Água Fria de Goiás	2015										171				43			
Água Fria de Goiás	2016										168				32			
Água Fria de Goiás	2017										164				46			
Água Fria de Goiás	2018						0	0	0	0	192	0	0	0	34	0	0	0
Água Limpa	2002										122							
Água Limpa	2003										126							
Água Limpa	2004										155							
Água Limpa	2005										108							
Água Limpa	2006										123							
Água Limpa	2007										117							
Água Limpa	2008										109				13			
Água Limpa	2009										99				7			
Água Limpa	2010						 	 	 	 	87	 	 	 	 	 	 	 
Água Limpa	2011										87							
Água Limpa	2012										77							
Água Limpa	2013										79							
Água Limpa	2014										88							
Água Limpa	2015										99							
Água Limpa	2016										78							
Água Limpa	2017										54					12		
Água Limpa	2018						0	0	0	0	72	0	0	0	0	10	0	0
Águas Lindas de Goiás	2002										3304				522			266
Águas Lindas de Goiás	2003										4331			30	653	301		260
Águas Lindas de Goiás	2004										5387				1245	1409		441
Águas Lindas de Goiás	2005										5376				1202	1601		93
Águas Lindas de Goiás	2006										6033			53	1380	1714		302
Águas Lindas de Goiás	2007		306		22						5359				1055	845		122
