"Localidade";"Ano";"Produto Interno Bruto a Preços Correntes - PIB (R$ mil)";"Produto Interno Bruto per Capita (R$)";"Valor Adicionado Bruto a Preços Básicos - Total (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Agropecuária (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Indústria (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Serviços (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Administração Pública (R$ mil)";"Valor Adicionado Bruto a Preços Básicos - Impostos (R$ mil)"
"Abadia de Goiás";"2002";"19.813";"...";"18.196";"1.674";"4.841";"11.681";"5.891";"1.617"
"Abadia de Goiás";"2003";"22.773";"...";"21.263";"2.037";"4.734";"14.492";"7.436";"1.510"
"Abadia de Goiás";"2004";"23.756";"...";"22.442";"3.044";"3.980";"15.417";"8.269";"1.314"
"Abadia de Goiás";"2005";"28.156";"...";"26.567";"2.269";"5.592";"18.707";"9.238";"1.589"
"Abadia de Goiás";"2006";"31.165";"...";"29.378";"2.041";"6.592";"20.745";"10.495";"1.787"
"Abadia de Goiás";"2007";"34.506";"...";"32.283";"2.269";"8.060";"21.955";"11.022";"2.222"
"Abadia de Goiás";"2008";"40.681";"...";"38.065";"2.990";"9.786";"25.289";"12.784";"2.616"
"Abadia de Goiás";"2009";"43.515";"...";"40.635";"3.422";"8.317";"28.896";"13.862";"2.880"
"Abadia de Goiás";"2010";"59.043";"8.596,82";"54.853";"4.853";"14.637";"18.097";"17.267";"4.190"
"Abadia de Goiás";"2011";"66.848";"9.518,49";"60.898";"4.870";"14.111";"21.366";"20.549";"5.951"
"Abadia de Goiás";"2012";"146.855";"20.499,05";"125.111";"5.854";"20.207";"75.627";"23.424";"21.744"
"Abadia de Goiás";"2013";"159.333";"21.056,25";"138.568";"6.096";"29.599";"76.532";"26.340";"20.765"
"Abadia de Goiás";"2014";"185.289";"23.960,79";"161.653";"5.807";"30.664";"94.535";"30.647";"23.636"
"Abadia de Goiás";"2015";"171.702";"21.748,15";"150.041";"6.318";"27.979";"80.369";"35.374";"21.661"
"Abadia de Goiás";"2016";"166.412";"20.664,57";"145.858";"6.201";"27.991";"74.750";"36.915";"20.554"
"Abadiânia";"2002";"38.867";"...";"35.960";"8.151";"2.084";"25.725";"11.319";"2.907"
"Abadiânia";"2003";"49.555";"...";"46.005";"13.556";"2.623";"29.826";"13.073";"3.550"
"Abadiânia";"2004";"55.021";"...";"51.523";"14.915";"3.027";"33.581";"14.777";"3.498"
"Abadiânia";"2005";"54.880";"...";"51.031";"10.185";"3.324";"37.522";"16.544";"3.849"
"Abadiânia";"2006";"61.801";"...";"57.064";"7.846";"4.709";"44.509";"19.010";"4.736"
"Abadiânia";"2007";"75.699";"...";"69.316";"9.497";"5.482";"54.337";"21.182";"6.383"
"Abadiânia";"2008";"84.745";"...";"78.218";"10.705";"5.533";"61.979";"24.665";"6.528"
"Abadiânia";"2009";"97.178";"...";"89.849";"12.914";"6.442";"70.493";"25.931";"7.329"
"Abadiânia";"2010";"127.498";"8.094,07";"118.817";"25.611";"9.376";"49.703";"34.126";"8.681"
"Abadiânia";"2011";"152.163";"9.458,16";"139.505";"18.210";"19.750";"61.454";"40.090";"12.658"
"Abadiânia";"2012";"190.662";"11.620,07";"175.230";"35.919";"14.475";"82.644";"42.192";"15.432"
"Abadiânia";"2013";"219.355";"12.660,43";"202.102";"49.277";"16.312";"89.700";"46.813";"17.252"
"Abadiânia";"2014";"281.463";"15.900,94";"260.512";"63.211";"19.805";"121.121";"56.375";"20.950"
"Abadiânia";"2015";"289.003";"15.994,41";"265.183";"53.821";"18.996";"134.003";"58.363";"23.820"
