Localidade;Ano;PopulacaoContagemTotal;PopulacaoContagemMasculina;PopulacaoContagemFeminina;PopulacaoContagemUrbana;PopulacaoContagemRural;PopulacaoContagem0-4;PopulacaoContagem5-9;PopulacaoContagem10-14;PopulacaoContagem15-19;PopulacaoContagem20-29;PopulacaoContagem30-39;PopulacaoContagem40-49;PopulacaoContagem50-59;PopulacaoContagem60-69;PopulacaoContagem70-79;PopulacaoContagem80;PopulacaoContagemIdadeIgnorada
Abadia de Goiás;1996;;;;;;;;;;;;;;;;;
Abadia de Goiás;2007;5868;2760;2864;3963;1905;657;625;654;649;1251;1020;824;542;312;176;59;
Abadia de Goiás;2011;;;;;;;;;;;;;;;;;
Abadia de Goiás;2012;;;;;;;;;;;;;;;;;
Abadia de Goiás;2013;;;;;;;;;;;;;;;;;
Abadia de Goiás;2014;;;;;;;;;;;;;;;;;
Abadia de Goiás;2015;;;;;;;;;;;;;;;;;
Abadia de Goiás;2016;;;;;;;;;;;;;;;;;
Abadia de Goiás;2017;;;;;;;;;;;;;;;;;
Abadia de Goiás;2018;;;;;;;;;;;;;;;;;
Abadia de Goiás;2019;;;;;;;;;;;;;;;;;
Abadia de Goiás;2020;;;;;;;;;;;;;;;;;
Abadiânia;1996;10144;5264;4880;6156;3988;1023;1009;1058;1074;1891;1437;1023;784;527;233;74;11
Abadiânia;2007;12640;6182;5858;7807;4833;1209;1228;1175;1072;2232;2146;1641;1134;754;444;162;
Abadiânia;2011;;;;;;;;;;;;;;;;;
Abadiânia;2012;;;;;;;;;;;;;;;;;
Abadiânia;2013;;;;;;;;;;;;;;;;;
Abadiânia;2014;;;;;;;;;;;;;;;;;
Abadiânia;2015;;;;;;;;;;;;;;;;;
Abadiânia;2016;;;;;;;;;;;;;;;;;
Abadiânia;2017;;;;;;;;;;;;;;;;;
Abadiânia;2018;;;;;;;;;;;;;;;;;
Abadiânia;2019;;;;;;;;;;;;;;;;;
Abadiânia;2020;;;;;;;;;;;;;;;;;
Acreúna;1996;15330;7859;7471;12653;2677;1609;1623;1689;1675;3016;2399;1551;912;551;221;76;8
Acreúna;2007;18553;9190;8906;16424;2129;1974;2040;1945;2031;4040;3589;2858;1697;1044;507;191;
Acreúna;2011;;;;;;;;;;;;;;;;;
Acreúna;2012;;;;;;;;;;;;;;;;;
Acreúna;2013;;;;;;;;;;;;;;;;;
Acreúna;2014;;;;;;;;;;;;;;;;;
Acreúna;2015;;;;;;;;;;;;;;;;;
Acreúna;2016;;;;;;;;;;;;;;;;;
Acreúna;2017;;;;;;;;;;;;;;;;;
Acreúna;2018;;;;;;;;;;;;;;;;;
Acreúna;2019;;;;;;;;;;;;;;;;;
Acreúna;2020;;;;;;;;;;;;;;;;;
Adelândia;1996;2644;1405;1239;2111;533;282;275;291;283;468;390;249;192;130;60;12;12
Adelândia;2007;2510;1287;1201;2071;439;209;207;211;215;433;370;345;258;176;105;38;
Adelândia;2011;;;;;;;;;;;;;;;;;
Adelândia;2012;;;;;;;;;;;;;;;;;
Adelândia;2013;;;;;;;;;;;;;;;;;
Adelândia;2014;;;;;;;;;;;;;;;;;
Adelândia;2015;;;;;;;;;;;;;;;;;
Adelândia;2016;;;;;;;;;;;;;;;;;
Adelândia;2017;;;;;;;;;;;;;;;;;
Adelândia;2018;;;;;;;;;;;;;;;;;
Adelândia;2019;;;;;;;;;;;;;;;;;
Adelândia;2020;;;;;;;;;;;;;;;;;
Água Fria de Goiás;1996;3771;2094;1677;1312;2459;412;430;470;397;673;501;364;292;153;60;17;2
Água Fria de Goiás;2007;5008;2700;2232;2082;2926;488;449;432;457;892;723;594;406;277;131;41;
Água Fria de Goiás;2011;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2012;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2013;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2014;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2015;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2016;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2017;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2018;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2019;;;;;;;;;;;;;;;;;
Água Fria de Goiás;2020;;;;;;;;;;;;;;;;;
Água Limpa;1996;2067;1088;979;1419;648;198;220;172;179;382;311;246;175;102;54;21;7
Água Limpa;2007;2074;1082;992;1447;627;201;203;193;203;355;369;337;244;193;82;43;
Água Limpa;2011;;;;;;;;;;;;;;;;;
Água Limpa;2012;;;;;;;;;;;;;;;;;
Água Limpa;2013;;;;;;;;;;;;;;;;;
