Localidade;Ano;PopulacaoEstimada0-4;PopulacaoEstimada5-9;PopulacaoEstimada10-14;PopulacaoEstimada15-19;PopulacaoEstimada20-29;PopulacaoEstimada30-39;PopulacaoEstimada40-49;PopulacaoEstimada50-59;PopulacaoEstimada60-69;PopulacaoEstimada70-79;PopulacaoEstimada80
Abadia de Goiás;1992;;;;;;;;;;;
Abadia de Goiás;1993;;;;;;;;;;;
Abadia de Goiás;1994;;;;;;;;;;;
Abadia de Goiás;1995;;;;;;;;;;;
Abadia de Goiás;1997;;;;;;;;;;;
Abadia de Goiás;1998;;;;;;;;;;;
Abadia de Goiás;1999;;;;;;;;;;;
Abadia de Goiás;2001;544;569;540;534;937;803;599;344;225;111;24
Abadia de Goiás;2002;564;589;559;552;970;831;621;357;233;114;25
Abadia de Goiás;2003;587;611;580;574;1007;863;645;370;242;119;26
Abadia de Goiás;2004;607;633;601;595;1044;895;668;383;251;123;27
Abadia de Goiás;2005;656;684;650;641;1128;966;722;414;271;133;29
Abadia de Goiás;2006;681;709;675;667;1170;1002;749;430;281;138;30
Abadia de Goiás;2008;585;566;581;592;1148;929;751;521;288;162;59
Abadia de Goiás;2009;582;579;577;601;1167;949;761;557;299;166;64
Abadia de Goiás;2011;;;;;;;;;;;
Abadia de Goiás;2012;;;;;;;;;;;
Abadia de Goiás;2013;;;;;;;;;;;
Abadia de Goiás;2014;;;;;;;;;;;
Abadia de Goiás;2015;;;;;;;;;;;
Abadia de Goiás;2016;;;;;;;;;;;
Abadia de Goiás;2017;;;;;;;;;;;
Abadia de Goiás;2018;;;;;;;;;;;
Abadia de Goiás;2019;;;;;;;;;;;
Abadiânia;1992;;;;;;;;;;;
Abadiânia;1993;;;;;;;;;;;
Abadiânia;1994;;;;;;;;;;;
Abadiânia;1995;;;;;;;;;;;
Abadiânia;1997;;;;;;;;;;;
Abadiânia;1998;;;;;;;;;;;
Abadiânia;1999;;;;;;;;;;;
Abadiânia;2001;1231;1158;1056;1108;2111;1803;1243;899;655;299;103
Abadiânia;2002;1255;1180;1075;1130;2150;1837;1266;915;667;305;105
Abadiânia;2003;1277;1200;1093;1147;2187;1867;1287;930;678;310;107
Abadiânia;2004;1296;1221;1112;1167;2222;1898;1309;946;690;315;108
Abadiânia;2005;1345;1264;1152;1209;2304;1968;1357;981;715;327;112
Abadiânia;2006;1368;1287;1173;1231;2346;2004;1382;999;728;333;114
