Localidade;Ano;Taxa de Reprovação
Abadia de Goiás;2013;10,8
Abadia de Goiás;2014;10,7
Abadia de Goiás;2015;7,8
Abadia de Goiás;2016;8,9
Abadia de Goiás;2017;2,1
Abadia de Goiás;2018;2,9
Abadiânia;2013;4,6
Abadiânia;2014;9,6
Abadiânia;2015;6
Abadiânia;2016;5,9
Abadiânia;2017;2,5
Abadiânia;2018;4
Acreúna;2013;6,2
Acreúna;2014;4,7
Acreúna;2015;7,7
Acreúna;2016;7,7
Acreúna;2017;2,5
Acreúna;2018;2,5
Adelândia;2013;2,2
Adelândia;2014;1,1
Adelândia;2015;9
Adelândia;2016;0
Adelândia;2017;0
Adelândia;2018;0
Água Fria de Goiás;2013;0,6
Água Fria de Goiás;2014;1,1
Água Fria de Goiás;2015;2,4
Água Fria de Goiás;2016;3,6
Água Fria de Goiás;2017;2,6
Água Fria de Goiás;2018;0
Água Limpa;2013;0
Água Limpa;2014;5,2
Água Limpa;2015;1,1
Água Limpa;2016;0
Água Limpa;2017;2,1
Água Limpa;2018;10
Águas Lindas de Goiás;2013;13,3
Águas Lindas de Goiás;2014;13,1
Águas Lindas de Goiás;2015;13,5
Águas Lindas de Goiás;2016;15
Águas Lindas de Goiás;2017;6,4
Águas Lindas de Goiás;2018;8,1
Alexânia;2013;8
Alexânia;2014;10,5
Alexânia;2015;8,8
Alexânia;2016;12,3
Alexânia;2017;5,2
Alexânia;2018;10,3
Aloândia;2013;39,7
Aloândia;2014;7,1
Aloândia;2015;9,4
Aloândia;2016;18,8
Aloândia;2017;14,6
Aloândia;2018;10,8
Alto Horizonte;2013;9,7
Alto Horizonte;2014;7,9
Alto Horizonte;2015;2,6
Alto Horizonte;2016;8,6
Alto Horizonte;2017;0
Alto Horizonte;2018;3,3
Alto Paraíso de Goiás;2013;6,1
Alto Paraíso de Goiás;2014;13,3
Alto Paraíso de Goiás;2015;9,7
Alto Paraíso de Goiás;2016;7,6
Alto Paraíso de Goiás;2017;5,8
Alto Paraíso de Goiás;2018;3,1
Alvorada do Norte;2013;8,7
Alvorada do Norte;2014;5,1
Alvorada do Norte;2015;9,7
Alvorada do Norte;2016;7,3
Alvorada do Norte;2017;12,6
Alvorada do Norte;2018;3,2
Amaralina;2013;7,2
Amaralina;2014;8,4
Amaralina;2015;4,2
Amaralina;2016;3,9
Amaralina;2017;3
Amaralina;2018;3,8
Americano do Brasil;2013;0
Americano do Brasil;2014;2,5
Americano do Brasil;2015;5,4
Americano do Brasil;2016;1,9
Americano do Brasil;2017;1,1
Americano do Brasil;2018;3,2
Amorinópolis;2013;1,4
Amorinópolis;2014;5,8
Amorinópolis;2015;3,3
Amorinópolis;2016;1
Amorinópolis;2017;6,8
Amorinópolis;2018;2,3
Anápolis;2013;9,4
Anápolis;2014;10
Anápolis;2015;10
Anápolis;2016;6,9
Anápolis;2017;5,4
Anápolis;2018;6,8
Anhanguera;2013;2,6
Anhanguera;2014;0
Anhanguera;2015;4,7
Anhanguera;2016;0
Anhanguera;2017;0
Anhanguera;2018;14,3
Anicuns;2013;4,3
Anicuns;2014;10,7
Anicuns;2015;4,4
Anicuns;2016;3,2
Anicuns;2017;2,8
Anicuns;2018;4,4
Aparecida de Goiânia;2013;8,5
Aparecida de Goiânia;2014;10,8
Aparecida de Goiânia;2015;9,5
Aparecida de Goiânia;2016;9,4
Aparecida de Goiânia;2017;7,9
Aparecida de Goiânia;2018;7,8
Aparecida do Rio Doce;2013;0
Aparecida do Rio Doce;2014;3,1
Aparecida do Rio Doce;2015;1,5
Aparecida do Rio Doce;2016;5,5
Aparecida do Rio Doce;2017;0,8
Aparecida do Rio Doce;2018;0,9
Aporé;2013;8,8
Aporé;2014;7,6
Aporé;2015;18,6
Aporé;2016;13,5
Aporé;2017;0,9
Aporé;2018;7,4
Araçu;2013;1,1
Araçu;2014;6,8
Araçu;2015;0,7
Araçu;2016;4,4
Araçu;2017;0
Araçu;2018;0
Aragarças;2013;30,4
Aragarças;2014;14,8
Aragarças;2015;13,7
Aragarças;2016;13,5
Aragarças;2017;14,2
Aragarças;2018;6,4
Aragoiânia;2013;4,1
Aragoiânia;2014;14,5
Aragoiânia;2015;8,2
Aragoiânia;2016;8,1
Aragoiânia;2017;10
Aragoiânia;2018;20,7
Araguapaz;2013;13,3
Araguapaz;2014;8,5
Araguapaz;2015;4,5
Araguapaz;2016;5
Araguapaz;2017;2,1
Araguapaz;2018;2,2
Arenópolis;2013;4,2
Arenópolis;2014;10
Arenópolis;2015;6,3
Arenópolis;2016;5,6
Arenópolis;2017;2,7
Arenópolis;2018;8
Aruanã;2013;2,6
Aruanã;2014;11,2
Aruanã;2015;5,6
Aruanã;2016;11,6
Aruanã;2017;4,2
Aruanã;2018;4,5
Aurilândia;2013;0,8
Aurilândia;2014;5,3
Aurilândia;2015;7
Aurilândia;2016;0
Aurilândia;2017;0
Aurilândia;2018;0
Avelinópolis;2013;3,3
Avelinópolis;2014;7,8
Avelinópolis;2015;0
Avelinópolis;2016;0
Avelinópolis;2017;0
Avelinópolis;2018;0
Baliza;2013;0,7
Baliza;2014;3,5
Baliza;2015;8,3
Baliza;2016;7,1
Baliza;2017;0
Baliza;2018;2,1
Barro Alto;2013;1
Barro Alto;2014;1,2
Barro Alto;2015;0,9
Barro Alto;2016;4,3
Barro Alto;2017;0,3
Barro Alto;2018;2,2
Bela Vista de Goiás;2013;25,5
Bela Vista de Goiás;2014;20,5
Bela Vista de Goiás;2015;26,5
Bela Vista de Goiás;2016;17,4
Bela Vista de Goiás;2017;2,1
Bela Vista de Goiás;2018;1,5
Bom Jardim de Goiás;2013;5,6
Bom Jardim de Goiás;2014;7,8
Bom Jardim de Goiás;2015;3,3
Bom Jardim de Goiás;2016;0,4
Bom Jardim de Goiás;2017;6,3
Bom Jardim de Goiás;2018;1
Bom Jesus de Goiás;2013;4,7
Bom Jesus de Goiás;2014;4,7
Bom Jesus de Goiás;2015;5,1
Bom Jesus de Goiás;2016;4,7
Bom Jesus de Goiás;2017;3,5
Bom Jesus de Goiás;2018;6,8
Bonfinópolis;2013;14
Bonfinópolis;2014;14,3
Bonfinópolis;2015;15
Bonfinópolis;2016;9,5
Bonfinópolis;2017;9,3
Bonfinópolis;2018;14,3
Bonópolis;2013;5
Bonópolis;2014;4,5
Bonópolis;2015;3
Bonópolis;2016;5,3
Bonópolis;2017;2,3
Bonópolis;2018;5,4
Brazabrantes;2013;1,2
Brazabrantes;2014;11
Brazabrantes;2015;5,5
Brazabrantes;2016;3,6
Brazabrantes;2017;1
Brazabrantes;2018;5,2
Britânia;2013;4,4
Britânia;2014;3,9
Britânia;2015;3,4
Britânia;2016;4,9
Britânia;2017;5,3
Britânia;2018;4,2
Buriti Alegre;2013;2,3
Buriti Alegre;2014;8,9
Buriti Alegre;2015;3,9
Buriti Alegre;2016;1
Buriti Alegre;2017;3,2
Buriti Alegre;2018;6,6
Buriti de Goiás;2013;2,9
Buriti de Goiás;2014;1,6
Buriti de Goiás;2015;5,6
Buriti de Goiás;2016;5,1
Buriti de Goiás;2017;2,1
Buriti de Goiás;2018;3
Buritinópolis;2013;4,8
Buritinópolis;2014;3,7
Buritinópolis;2015;2,2
Buritinópolis;2016;5,8
Buritinópolis;2017;2,6
Buritinópolis;2018;5,3
Cabeceiras;2013;21,8
Cabeceiras;2014;10
Cabeceiras;2015;19,5
Cabeceiras;2016;21,5
Cabeceiras;2017;8,9
Cabeceiras;2018;7
Cachoeira Alta;2013;11,8
Cachoeira Alta;2014;7
Cachoeira Alta;2015;9
Cachoeira Alta;2016;6,8
Cachoeira Alta;2017;4,7
Cachoeira Alta;2018;4,2
